"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CAÑETE (000)",82659,51309,9779,10101,11470
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",168,6,26,43,93
"Profes., científicos e intelectuales (002)",6193,1297,926,1625,2345
"Técnicos de nivel medio y trab. asimilados (003)",3362,1501,431,438,992
"Jefes y empleados de oficina (004)",2901,582,288,493,1538
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",12969,11025,891,641,412
"Agricult.trabaj.calif.agrop.y pesqueros (006)",7777,6781,749,150,97
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",5509,3242,459,463,1345
"Obreros construc.,conf.,papel, fab., instr. (008)",9610,6548,1179,922,961
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",32626,19559,4732,5236,3099
"Otra (010)",507,,,,507
"Ocupación no especificada (011)",1037,768,98,90,81
"Hombres (012)",53037,32378,6892,6440,7327
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",117,6,15,35,61
"Profes., científicos e intelectuales (014)",2823,672,417,704,1030
"Técnicos de nivel medio y trab. asimilados (015)",2138,1006,285,315,532
"Jefes y empleados de oficina (016)",1300,238,129,237,696
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",5410,4037,556,498,319
"Agricult.trabaj.calif.agrop.y pesqueros (018)",6494,5679,596,129,90
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",4818,2822,420,410,1166
"Obreros construc.,conf.,papel, fab., instr. (020)",9420,6418,1167,897,938
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",19559,11208,3239,3150,1962
"Otra (022)",486,,,,486
"Ocupación no especificada (023)",472,292,68,65,47
"Mujeres (024)",29622,18931,2887,3661,4143
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",51,,11,8,32
"Profes., científicos e intelectuales (026)",3370,625,509,921,1315
"Técnicos de nivel medio y trab. asimilados (027)",1224,495,146,123,460
"Jefes y empleados de oficina (028)",1601,344,159,256,842
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",7559,6988,335,143,93
"Agricult.trabaj.calif.agrop.y pesqueros (030)",1283,1102,153,21,7
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",691,420,39,53,179
