"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia TOCACHE (000)",63138,14582,21274,15337,9558,2387
"Sin nivel (001)",4519,435,519,1247,1485,833
"Educación inicial (002)",724,660,36,28,,
"Primaria (003)",28471,10647,5046,6637,4865,1276
"Secundaria (004)",21419,2840,11511,4732,2150,186
"Superior no univ. incompleta (005)",2556,,1828,497,209,22
"Superior no univ. completa (006)",2952,,1394,1153,367,38
"Superior univ. incompleta (007)",1004,,528,299,166,11
"Superior univ. completa (008)",1493,,412,744,316,21
"PEA (010)",30224,683,10866,10774,6747,1154
"Sin nivel (011)",1849,37,216,594,748,254
"Educación inicial (012)",31,4,10,17,,
"Primaria (013)",11728,444,2855,4324,3375,730
"Secundaria (014)",11004,198,5469,3522,1700,115
"Superior no univ. incompleta (015)",1218,,634,392,175,17
"Superior no univ. completa (016)",2438,,1119,995,306,18
"Superior univ. incompleta (017)",648,,236,253,150,9
"Superior univ. completa (018)",1308,,327,677,293,11
"Ocupada (020)",29486,644,10499,10581,6628,1134
"Sin nivel (021)",1792,25,208,578,734,247
"Educación inicial (022)",29,4,8,17,,
"Primaria (023)",11467,425,2772,4241,3309,720
"Secundaria (024)",10688,190,5265,3455,1666,112
"Superior no univ. incompleta (025)",1180,,606,383,174,17
"Superior no univ. completa (026)",2399,,1094,983,304,18
"Superior univ. incompleta (027)",635,,226,251,149,9
"Superior univ. completa (028)",1296,,320,673,292,11
"Desocupada (030)",738,39,367,193,119,20
