"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia SAN MARTIN (000)",161132,159070,1323,739
"Hombres (001)",82159,81161,602,396
"Mujeres (002)",78973,77909,721,343
"Menores de 1 año (003)",3072,2582,349,141
"Hombres (004)",1611,1349,183,79
"Mujeres (005)",1461,1233,166,62
"De 1 a 5 años (006)",16183,14971,653,559
"Hombres (007)",8336,7693,339,304
"Mujeres (008)",7847,7278,314,255
"De 6 a 14 años (009)",28520,28471,39,10
"Hombres (010)",14491,14465,22,4
"Mujeres (011)",14029,14006,17,6
"De 15 a 29 años (012)",47549,47525,18,6
"Hombres (013)",24088,24075,9,4
"Mujeres (014)",23461,23450,9,2
"De 30 a 44 años (015)",34215,34189,23,3
"Hombres (016)",17297,17288,8,1
"Mujeres (017)",16918,16901,15,2
"De 45 a 64 años (018)",23611,23577,29,5
"Hombres (019)",12571,12563,7,1
"Mujeres (020)",11040,11014,22,4
"De 65 a más años (021)",7982,7755,212,15
"Hombres (022)",3765,3728,34,3
"Mujeres (023)",4217,4027,178,12
,,,,
"URBANA (024)",146109,144517,949,643
"Hombres (025)",73784,73016,424,344
"Mujeres (026)",72325,71501,525,299
"Menores de 1 año (027)",2653,2280,247,126
"Hombres (028)",1403,1198,134,71
"Mujeres (029)",1250,1082,113,55
"De 1 a 5 años (030)",13983,13043,453,487
"Hombres (031)",7231,6732,235,264
"Mujeres (032)",6752,6311,218,223
"De 6 a 14 años (033)",25316,25289,19,8
"Hombres (034)",12815,12802,10,3
"Mujeres (035)",12501,12487,9,5
"De 15 a 29 años (036)",43617,43605,8,4
"Hombres (037)",21830,21822,5,3
"Mujeres (038)",21787,21783,3,1
"De 30 a 44 años (039)",31527,31512,12,3
"Hombres (040)",15713,15707,5,1
"Mujeres (041)",15814,15805,7,2
"De 45 a 64 años (042)",21702,21676,24,2
"Hombres (043)",11403,11397,6,
"Mujeres (044)",10299,10279,18,2
"De 65 a más años (045)",7311,7112,186,13
"Hombres (046)",3389,3358,29,2
"Mujeres (047)",3922,3754,157,11
,,,,
"RURAL (048)",15023,14553,374,96
"Hombres (049)",8375,8145,178,52
"Mujeres (050)",6648,6408,196,44
"Menores de 1 año (051)",419,302,102,15
"Hombres (052)",208,151,49,8
"Mujeres (053)",211,151,53,7
"De 1 a 5 años (054)",2200,1928,200,72
"Hombres (055)",1105,961,104,40
"Mujeres (056)",1095,967,96,32
"De 6 a 14 años (057)",3204,3182,20,2
"Hombres (058)",1676,1663,12,1
"Mujeres (059)",1528,1519,8,1
"De 15 a 29 años (060)",3932,3920,10,2
"Hombres (061)",2258,2253,4,1
"Mujeres (062)",1674,1667,6,1
"De 30 a 44 años (063)",2688,2677,11,
"Hombres (064)",1584,1581,3,
"Mujeres (065)",1104,1096,8,
"De 45 a 64 años (066)",1909,1901,5,3
"Hombres (067)",1168,1166,1,1
"Mujeres (068)",741,735,4,2
"De 65 a más años (069)",671,643,26,2
"Hombres (070)",376,370,5,1
"Mujeres (071)",295,273,21,1
