"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CONCEPCION (000)",18961,1015,13,5722,7410,1038,1639,665,1459
"Agric., ganadería, caza y silvicultura (001)",10310,822,10,4504,4068,278,296,134,198
"Pesca (002)",23,,,2,10,2,4,2,3
"Explotación de minas y canteras (003)",499,2,,15,280,44,65,19,74
"Industrias manufactureras (004)",817,9,,143,403,65,104,40,53
"Suministro de electricidad, gas y agua (005)",16,,,3,1,1,7,2,2
"Construcción (006)",726,4,,117,381,59,71,34,60
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2112,67,3,382,855,204,305,137,159
"Venta, mant.y rep. veh.autom.y motoc. (008)",281,,,17,103,47,74,19,21
"Comercio al por mayor (009)",85,2,,13,29,8,11,13,9
"Comercio al por menor (010)",1746,65,3,352,723,149,220,105,129
"Hoteles y restaurantes (011)",515,21,,114,220,40,60,35,25
"Trans., almac. y comunicaciones (012)",938,3,,89,546,93,94,66,47
"Intermediación financiera (013)",25,,,,1,2,4,6,12
"Activid.inmobil., empres. y de alquiler (014)",470,2,,23,121,52,88,46,138
"Admin.pub. y defensa; p. segur.soc.afil (015)",374,1,,19,99,28,94,30,103
"Enseñanza (016)",832,1,,1,29,51,279,44,427
"Servicios sociales y de salud (017)",236,,,6,10,13,67,30,110
"Otras activ. serv.comun.soc y personales (018)",316,13,,59,115,53,43,11,22
"Hogares privados con servicio doméstico (019)",263,19,,80,119,23,11,5,6
"Actividad economica no especificada (021)",489,51,,165,152,30,47,24,20
"Hombres (022)",12466,424,4,3689,5422,653,966,445,863
"Agric., ganadería, caza y silvicultura (023)",7323,394,3,3127,3137,192,215,101,154
"Pesca (024)",15,,,2,8,2,2,1,
"Explotación de minas y canteras (025)",475,2,,15,275,42,57,19,65
"Industrias manufactureras (026)",545,,,95,299,33,59,26,33
"Suministro de electricidad, gas y agua (027)",13,,,3,1,1,6,1,1
"Construcción (028)",704,3,,113,375,59,69,34,51
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",949,7,1,123,409,100,152,74,83
"Venta, mant.y rep. veh.autom.y motoc. (030)",257,,,17,90,42,69,19,20
"Comercio al por mayor (031)",45,,,7,17,4,6,7,4
"Comercio al por menor (032)",647,7,1,99,302,54,77,48,59
"Hoteles y restaurantes (033)",149,1,,20,63,13,24,16,12
"Trans., almac. y comunicaciones (034)",867,2,,87,513,82,82,59,42
"Intermediación financiera (035)",13,,,,1,1,1,4,6
"Activid.inmobil., empres. y de alquiler (036)",318,2,,15,99,35,59,31,77
"Admin.pub. y defensa; p. segur.soc.afil (037)",265,1,,18,83,15,65,18,65
"Enseñanza (038)",373,1,,,20,24,100,24,204
"Servicios sociales y de salud (039)",87,,,2,4,4,23,14,40
"Otras activ. serv.comun.soc y personales (040)",163,2,,23,57,35,22,6,18
"Hogares privados con servicio doméstico (041)",23,2,,8,9,1,1,1,1
"Actividad economica no especificada (043)",184,7,,38,69,14,29,16,11
"Mujeres (044)",6495,591,9,2033,1988,385,673,220,596
