"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CALCA (000)",61513,3150,7969,8834,6416,9754,8452,12808,4130
"Sabe leer y escribir (001)",46288,,5285,8628,6202,8814,6915,8720,1724
"No sabe leer y escribir (002)",15225,3150,2684,206,214,940,1537,4088,2406
"Hombres (004)",30990,1626,4057,4548,3389,4952,4169,6374,1875
"Sabe leer y escribir (005)",25306,,2676,4465,3326,4719,3767,5259,1094
"No sabe leer y escribir (006)",5684,1626,1381,83,63,233,402,1115,781
"Mujeres (008)",30523,1524,3912,4286,3027,4802,4283,6434,2255
"Sabe leer y escribir (009)",20982,,2609,4163,2876,4095,3148,3461,630
"No sabe leer y escribir (010)",9541,1524,1303,123,151,707,1135,2973,1625
,,,,,,,,,
"URBANA (012)",21997,909,2407,3090,2531,3756,3216,4594,1494
"Sabe leer y escribir (013)",19290,,1910,3069,2513,3679,3069,4035,1015
"No sabe leer y escribir (014)",2707,909,497,21,18,77,147,559,479
"Hombres (016)",10884,487,1209,1582,1304,1865,1543,2241,653
"Sabe leer y escribir (017)",9898,,967,1573,1295,1850,1514,2135,564
"No sabe leer y escribir (018)",986,487,242,9,9,15,29,106,89
"Mujeres (020)",11113,422,1198,1508,1227,1891,1673,2353,841
"Sabe leer y escribir (021)",9392,,943,1496,1218,1829,1555,1900,451
"No sabe leer y escribir (022)",1721,422,255,12,9,62,118,453,390
,,,,,,,,,
"RURAL (024)",39516,2241,5562,5744,3885,5998,5236,8214,2636
"Sabe leer y escribir (025)",26998,,3375,5559,3689,5135,3846,4685,709
"No sabe leer y escribir (026)",12518,2241,2187,185,196,863,1390,3529,1927
"Hombres (028)",20106,1139,2848,2966,2085,3087,2626,4133,1222
"Sabe leer y escribir (029)",15408,,1709,2892,2031,2869,2253,3124,530
"No sabe leer y escribir (030)",4698,1139,1139,74,54,218,373,1009,692
"Mujeres (032)",19410,1102,2714,2778,1800,2911,2610,4081,1414
"Sabe leer y escribir (033)",11590,,1666,2667,1658,2266,1593,1561,179
"No sabe leer y escribir (034)",7820,1102,1048,111,142,645,1017,2520,1235
