"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PURUS (000)",1053,708,139,45,161
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",9,,5,,4
"Profes., científicos e intelectuales (002)",161,49,76,17,19
"Técnicos de nivel medio y trab. asimilados (003)",28,4,3,3,18
"Jefes y empleados de oficina (004)",81,9,8,4,60
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",69,58,5,3,3
"Agricult.trabaj.calif.agrop.y pesqueros (006)",303,294,9,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",51,43,3,2,3
"Obreros construc.,conf.,papel, fab., instr. (008)",52,37,11,3,1
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",184,126,10,5,43
"Otra (010)",9,,,,9
"Ocupación no especificada (011)",106,88,9,8,1
"Hombres (012)",824,568,100,34,122
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",5,,3,,2
"Profes., científicos e intelectuales (014)",103,28,49,13,13
"Técnicos de nivel medio y trab. asimilados (015)",27,4,3,3,17
"Jefes y empleados de oficina (016)",56,7,4,2,43
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",36,25,5,3,3
"Agricult.trabaj.calif.agrop.y pesqueros (018)",289,281,8,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",48,40,3,2,3
"Obreros construc.,conf.,papel, fab., instr. (020)",49,36,10,2,1
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",120,77,8,5,30
"Otra (022)",9,,,,9
"Ocupación no especificada (023)",82,70,7,4,1
"Mujeres (024)",229,140,39,11,39
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",4,,2,,2
"Profes., científicos e intelectuales (026)",58,21,27,4,6
"Técnicos de nivel medio y trab. asimilados (027)",1,,,,1
"Jefes y empleados de oficina (028)",25,2,4,2,17
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",33,33,,,
"Agricult.trabaj.calif.agrop.y pesqueros (030)",14,13,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",3,3,,,
"Obreros construc.,conf.,papel, fab., instr. (032)",3,1,1,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",64,49,2,,13
"Ocupación no especificada (035)",24,18,2,4,
,,,,,
