"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PICOTA (000)",14442,11955,1348,647,492
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",39,,5,3,31
"Profes., científicos e intelectuales (002)",509,147,109,183,70
"Técnicos de nivel medio y trab. asimilados (003)",197,92,31,25,49
"Jefes y empleados de oficina (004)",277,54,27,46,150
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1254,1135,75,23,21
"Agricult.trabaj.calif.agrop.y pesqueros (006)",5329,4921,393,15,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",534,430,62,29,13
"Obreros construc.,conf.,papel, fab., instr. (008)",703,551,75,54,23
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",5209,4302,546,262,99
"Otra (010)",19,,,,19
"Ocupación no especificada (011)",372,323,25,7,17
"Hombres (012)",11004,9002,1142,509,351
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",30,,2,3,25
"Profes., científicos e intelectuales (014)",304,69,73,115,47
"Técnicos de nivel medio y trab. asimilados (015)",135,69,22,22,22
"Jefes y empleados de oficina (016)",156,23,16,24,93
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",567,492,42,17,16
"Agricult.trabaj.calif.agrop.y pesqueros (018)",4999,4605,379,15,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",454,358,57,27,12
"Obreros construc.,conf.,papel, fab., instr. (020)",696,545,75,53,23
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",3466,2705,456,227,78
"Otra (022)",18,,,,18
"Ocupación no especificada (023)",179,136,20,6,17
"Mujeres (024)",3438,2953,206,138,141
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",9,,3,,6
"Profes., científicos e intelectuales (026)",205,78,36,68,23
"Técnicos de nivel medio y trab. asimilados (027)",62,23,9,3,27
"Jefes y empleados de oficina (028)",121,31,11,22,57
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",687,643,33,6,5
"Agricult.trabaj.calif.agrop.y pesqueros (030)",330,316,14,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",80,72,5,2,1
"Obreros construc.,conf.,papel, fab., instr. (032)",7,6,,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",1743,1597,90,35,21
