"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia LORETO (000)",56058,3959,8385,8250,6622,9648,7393,9753,2048
"Sabe leer y escribir (001)",43543,,4057,7780,6242,8876,6786,8444,1358
"No sabe leer y escribir (002)",12515,3959,4328,470,380,772,607,1309,690
"Hombres (004)",30140,1969,4345,4333,3426,5024,4080,5802,1161
"Sabe leer y escribir (005)",24416,,2112,4078,3315,4739,3862,5364,946
"No sabe leer y escribir (006)",5724,1969,2233,255,111,285,218,438,215
"Mujeres (008)",25918,1990,4040,3917,3196,4624,3313,3951,887
"Sabe leer y escribir (009)",19127,,1945,3702,2927,4137,2924,3080,412
"No sabe leer y escribir (010)",6791,1990,2095,215,269,487,389,871,475
,,,,,,,,,
"URBANA (012)",24085,1358,3078,3303,3031,4304,3499,4546,966
"Sabe leer y escribir (013)",20880,,1953,3267,3000,4246,3439,4272,703
"No sabe leer y escribir (014)",3205,1358,1125,36,31,58,60,274,263
"Hombres (016)",13077,682,1584,1732,1590,2253,1974,2731,531
"Sabe leer y escribir (017)",11626,,1009,1710,1581,2236,1956,2670,464
"No sabe leer y escribir (018)",1451,682,575,22,9,17,18,61,67
"Mujeres (020)",11008,676,1494,1571,1441,2051,1525,1815,435
"Sabe leer y escribir (021)",9254,,944,1557,1419,2010,1483,1602,239
"No sabe leer y escribir (022)",1754,676,550,14,22,41,42,213,196
,,,,,,,,,
"RURAL (024)",31973,2601,5307,4947,3591,5344,3894,5207,1082
"Sabe leer y escribir (025)",22663,,2104,4513,3242,4630,3347,4172,655
"No sabe leer y escribir (026)",9310,2601,3203,434,349,714,547,1035,427
"Hombres (028)",17063,1287,2761,2601,1836,2771,2106,3071,630
"Sabe leer y escribir (029)",12790,,1103,2368,1734,2503,1906,2694,482
"No sabe leer y escribir (030)",4273,1287,1658,233,102,268,200,377,148
"Mujeres (032)",14910,1314,2546,2346,1755,2573,1788,2136,452
"Sabe leer y escribir (033)",9873,,1001,2145,1508,2127,1441,1478,173
"No sabe leer y escribir (034)",5037,1314,1545,201,247,446,347,658,279
