"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SAN MARTIN (000)",66729,47469,7215,5969,6076
"Agric., ganadería, caza y silvicultura (001)",18012,15315,1994,534,169
"Pesca (002)",113,96,14,3,
"Explotación de minas y canteras (003)",64,12,4,11,37
"Industrias manufactureras (004)",3804,2960,460,264,120
"Suministro de electricidad, gas y agua (005)",223,43,18,80,82
"Construcción (006)",4430,2584,777,702,367
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",12304,10610,1056,580,58
"Venta, mant.y rep. veh.autom y motoc. (008)",1814,1418,254,114,28
"Comercio al por mayor (009)",639,433,90,86,30
"Comercio al por menor (010)",9851,8759,712,380,
"Hoteles y restaurantes (011)",3544,2896,421,196,31
"Trans., almac. y comunicaciones (012)",5854,4641,456,417,340
"Intermediación financiera (013)",503,72,67,286,78
"Activid.inmobil., empres. y alquileres (014)",3027,1452,497,639,439
"Admin.pub. y defensa; p. segur soc.afil (015)",2197,,,,2197
"Enseñanza (016)",3965,712,758,1543,952
"Servicios sociales y de salud (017)",1414,315,86,102,911
"Otras activ. serv.comun.soc y personales (018)",1735,1164,248,254,69
"Hogares privados con servicio doméstico (019)",2964,2964,,,
"Organiz. y organos extraterritoriales (020)",5,,2,3,
"Actividad economica no especificada (021)",2571,1633,357,355,226
"Hombres (022)",43908,30877,5182,3845,4004
"Agric., ganadería, caza y silvicultura (023)",14801,12640,1638,395,128
"Pesca (024)",99,82,14,3,
"Explotación de minas y canteras (025)",62,11,4,10,37
"Industrias manufactureras (026)",2706,2072,362,194,78
"Suministro de electricidad, gas y agua (027)",198,43,18,70,67
"Construcción (028)",4272,2521,757,654,340
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",6733,5616,682,386,49
"Venta, mant.y rep. veh.autom y motoc. (030)",1650,1307,219,96,28
"Comercio al por mayor (031)",402,250,67,64,21
"Comercio al por menor (032)",4681,4059,396,226,
"Hoteles y restaurantes (033)",878,609,163,90,16
"Trans., almac. y comunicaciones (034)",5455,4367,400,377,311
"Intermediación financiera (035)",323,44,41,183,55
"Activid.inmobil., empres. y alquileres (036)",2060,1011,325,418,306
"Admin.pub. y defensa; p. segur soc.afil (037)",1582,,,,1582
"Enseñanza (038)",1872,283,392,701,496
"Servicios sociales y de salud (039)",586,156,30,37,363
