"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CANDARAVE (000)",4063,382,2,1404,1646,132,184,90,223
"Agric., ganadería, caza y silvicultura (001)",2675,331,2,1118,1039,48,65,36,36
"Pesca (002)",10,,,5,2,2,,1,
"Explotación de minas y canteras (003)",1,,,,1,,,,
"Industrias manufactureras (004)",111,11,,29,58,6,2,2,3
"Suministro de electricidad, gas y agua (005)",19,,,5,5,2,3,1,3
"Construcción (006)",351,2,,80,206,23,19,11,10
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",173,15,,53,75,8,9,6,7
"Venta, mant.y rep. veh.autom.y motoc. (008)",6,,,,3,1,1,,1
"Comercio al por mayor (009)",5,,,,1,,1,2,1
"Comercio al por menor (010)",162,15,,53,71,7,7,4,5
"Hoteles y restaurantes (011)",55,3,,18,29,1,2,1,1
"Trans., almac. y comunicaciones (012)",58,2,,11,29,2,3,5,6
"Intermediación financiera (013)",1,,,,,,,1,
"Activid.inmobil., empres. y de alquiler (014)",37,1,,4,9,4,1,3,15
"Admin.pub. y defensa; p. segur.soc.afil (015)",248,6,,46,113,15,17,13,38
"Enseñanza (016)",172,,,1,23,14,46,5,83
"Servicios sociales y de salud (017)",30,,,1,1,2,11,1,14
"Otras activ. serv.comun.soc y personales (018)",6,,,1,2,,,1,2
"Hogares privados con servicio doméstico (019)",14,1,,3,9,,,1,
"Actividad economica no especificada (021)",102,10,,29,45,5,6,2,5
"Hombres (022)",2550,129,,849,1144,92,125,78,133
"Agric., ganadería, caza y silvicultura (023)",1640,116,,672,709,34,51,30,28
"Pesca (024)",10,,,5,2,2,,1,
"Industrias manufactureras (026)",45,3,,5,26,4,2,2,3
"Suministro de electricidad, gas y agua (027)",19,,,5,5,2,3,1,3
"Construcción (028)",329,1,,74,192,23,19,11,9
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",74,2,,20,35,5,6,5,1
"Venta, mant.y rep. veh.autom.y motoc. (030)",6,,,,3,1,1,,1
"Comercio al por mayor (031)",3,,,,1,,,2,
"Comercio al por menor (032)",65,2,,20,31,4,5,3,
"Hoteles y restaurantes (033)",11,,,4,5,,1,,1
"Trans., almac. y comunicaciones (034)",55,2,,11,26,2,3,5,6
"Intermediación financiera (035)",1,,,,,,,1,
"Activid.inmobil., empres. y de alquiler (036)",26,,,2,7,4,1,3,9
"Admin.pub. y defensa; p. segur.soc.afil (037)",220,4,,42,101,12,14,12,35
"Enseñanza (038)",62,,,1,5,2,19,2,33
"Servicios sociales y de salud (039)",9,,,,1,1,4,1,2
"Otras activ. serv.comun.soc y personales (040)",2,,,1,,,,1,
"Hogares privados con servicio doméstico (041)",3,,,1,1,,,1,
"Actividad economica no especificada (043)",44,1,,6,29,1,2,2,3
"Mujeres (044)",1513,253,2,555,502,40,59,12,90
"Agric., ganadería, caza y silvicultura (045)",1035,215,2,446,330,14,14,6,8
"Explotación de minas y canteras (047)",1,,,,1,,,,
"Industrias manufactureras (048)",66,8,,24,32,2,,,
"Construcción (050)",22,1,,6,14,,,,1
