"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia UCAYALI (000)",50046,14707,16001,10337,6778,2223
"Sin nivel (001)",1398,253,166,235,418,326
"Educación inicial (002)",601,574,18,9,,
"Primaria (003)",26556,11539,4445,4650,4233,1689
"Secundaria (004)",17265,2341,9522,3774,1462,166
"Superior no univ. incompleta (005)",1141,,639,350,141,11
"Superior no univ. completa (006)",1702,,610,788,294,10
"Superior univ. incompleta (007)",552,,337,151,58,6
"Superior univ. completa (008)",831,,264,380,172,15
"PEA (010)",21074,737,7589,7030,4634,1084
"Sin nivel (011)",498,10,65,116,201,106
"Educación inicial (012)",17,9,5,3,,
"Primaria (013)",9399,536,2323,2871,2797,872
"Secundaria (014)",8053,182,4106,2597,1085,83
"Superior no univ. incompleta (015)",666,,261,281,116,8
"Superior no univ. completa (016)",1416,,464,707,243,2
"Superior univ. incompleta (017)",343,,162,126,49,6
"Superior univ. completa (018)",682,,203,329,143,7
"Ocupada (020)",20353,701,7262,6813,4528,1049
"Sin nivel (021)",470,8,61,110,190,101
"Educación inicial (022)",17,9,5,3,,
"Primaria (023)",9111,512,2229,2786,2735,849
"Secundaria (024)",7719,172,3917,2495,1058,77
"Superior no univ. incompleta (025)",648,,250,275,115,8
"Superior no univ. completa (026)",1386,,447,695,242,2
"Superior univ. incompleta (027)",337,,158,125,49,5
"Superior univ. completa (028)",665,,195,324,139,7
"Desocupada (030)",721,36,327,217,106,35
"Sin nivel (031)",28,2,4,6,11,5
