"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia SECHURA (000)",957,173,784
"Sin nivel (001)",21,,21
"Educación inicial (002)",5,2,3
"Primaria (003)",427,51,376
"Secundaria (004)",346,76,270
"Superior no univ. incompleta (005)",46,10,36
"Superior no univ. completa (006)",67,20,47
"Superior univ. incompleta (007)",15,5,10
"Superior univ. completa (008)",30,9,21
"Hombres (010)",811,121,690
"Sin nivel (011)",19,,19
"Educación inicial (012)",5,2,3
"Primaria (013)",381,37,344
"Secundaria (014)",298,59,239
"Superior no univ. incompleta (015)",35,4,31
"Superior no univ. completa (016)",38,9,29
"Superior univ. incompleta (017)",13,4,9
"Superior univ. completa (018)",22,6,16
"Mujeres (020)",146,52,94
"Sin nivel (021)",2,,2
"Primaria (023)",46,14,32
"Secundaria (024)",48,17,31
"Superior no univ. incompleta (025)",11,6,5
"Superior no univ. completa (026)",29,11,18
"Superior univ. incompleta (027)",2,1,1
"Superior univ. completa (028)",8,3,5
,,,
"AREA URBANA (030)",904,167,737
"Sin nivel (031)",16,,16
"Educación inicial (032)",5,2,3
"Primaria (033)",397,47,350
"Secundaria (034)",333,74,259
"Superior no univ. incompleta (035)",42,10,32
"Superior no univ. completa (036)",67,20,47
"Superior univ. incompleta (037)",15,5,10
"Superior univ. completa (038)",29,9,20
"Hombres (040)",762,117,645
"Sin nivel (041)",14,,14
"Educación inicial (042)",5,2,3
"Primaria (043)",353,33,320
"Secundaria (044)",287,59,228
"Superior no univ. incompleta (045)",31,4,27
"Superior no univ. completa (046)",38,9,29
"Superior univ. incompleta (047)",13,4,9
"Superior univ. completa (048)",21,6,15
"Mujeres (050)",142,50,92
"Sin nivel (051)",2,,2
"Primaria (053)",44,14,30
"Secundaria (054)",46,15,31
"Superior no univ. incompleta (055)",11,6,5
"Superior no univ. completa (056)",29,11,18
"Superior univ. incompleta (057)",2,1,1
"Superior univ. completa (058)",8,3,5
,,,
"AREA RURAL (060)",53,6,47
"Sin nivel (061)",5,,5
"Primaria (063)",30,4,26
"Secundaria (064)",13,2,11
"Superior no univ. incompleta (065)",4,,4
"Superior univ. completa (068)",1,,1
"Hombres (070)",49,4,45
"Sin nivel (071)",5,,5
"Primaria (073)",28,4,24
"Secundaria (074)",11,,11
"Superior no univ. incompleta (075)",4,,4
"Superior univ. completa (078)",1,,1
"Mujeres (080)",4,2,2
"Primaria (083)",2,,2
"Secundaria (084)",2,2,
