"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia MANU (000)",4400,4116,40,1205,1020,739,717,293,79,23,284,11389
"De 12 a 14 años (001)",6,3,,3,,,,,,,3,3
"De 15 a 19 años (002)",270,224,3,199,16,6,,,,,46,249
"De 20 a 24 años (003)",918,825,11,523,232,50,8,1,,,93,1179
"De 25 a 29 años (004)",810,745,7,245,280,156,51,5,1,,65,1531
"De 30 a 34 años (005)",705,671,4,111,204,194,131,23,4,,34,1838
"De 35 a 39 años (006)",571,557,7,48,129,139,167,58,5,4,14,1906
"De 40 a 44 años (007)",420,417,2,29,72,87,146,59,16,6,3,1651
"De 45 a 49 años (008)",286,279,2,18,39,47,97,53,21,2,7,1214
"De 50 y más años (009)",414,395,4,29,48,60,117,94,32,11,19,1818
"Sin nivel (010)",561,544,2,54,80,97,163,105,29,14,17,2285
"De 12 a 14 años (011)",1,1,,1,,,,,,,,1
"De 15 a 19 años (012)",6,5,,3,1,1,,,,,1,8
"De 20 a 24 años (013)",27,24,1,9,9,4,1,,,,3,44
"De 25 a 29 años (014)",20,20,,4,5,8,2,1,,,,53
"De 30 a 34 años (015)",97,94,,9,23,23,29,8,2,,3,315
"De 35 a 39 años (016)",77,76,,3,11,13,34,11,1,3,1,321
"De 40 a 44 años (017)",69,68,,4,4,16,24,14,2,4,1,315
"De 45 a 49 años (018)",74,74,1,6,6,10,19,23,8,1,,357
"De 50 y más años (019)",190,182,,15,21,22,54,48,16,6,8,871
"Educacion Inicial (020)",31,31,,6,13,7,3,2,,,,78
"De 15 a 19 años (022)",1,1,,1,,,,,,,,1
"De 20 a 24 años (023)",7,7,,2,5,,,,,,,12
"De 25 a 29 años (024)",11,11,,2,5,3,,1,,,,27
