"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia CORONEL PORTILLO (000)",242900,42020,52446,50445,40583,28148,29258
"Católica (001)",163231,26809,34205,34051,28210,19954,20002
"Cristiana/Evangélica (002)",53816,10042,11652,10966,8642,5832,6682
"Otra (003)",13011,2487,2809,2494,1951,1490,1780
"Ninguna (004)",12842,2682,3780,2934,1780,872,794
"Hombres (006)",122634,21185,25798,24773,20330,14840,15708
"Católica (007)",83097,13675,16865,16762,14171,10654,10970
"Cristiana/Evangélica (008)",25713,4833,5497,5119,4104,2892,3268
"Otra (009)",6270,1207,1341,1175,927,706,914
"Ninguna (010)",7554,1470,2095,1717,1128,588,556
"Mujeres (012)",120266,20835,26648,25672,20253,13308,13550
"Católica (013)",80134,13134,17340,17289,14039,9300,9032
"Cristiana/Evangélica (014)",28103,5209,6155,5847,4538,2940,3414
"Otra (015)",6741,1280,1468,1319,1024,784,866
"Ninguna (016)",5288,1212,1685,1217,652,284,238
,,,,,,,
"URBANA (018)",207833,35470,44943,43264,35074,24279,24803
"Católica (019)",144561,23513,30405,30347,25123,17753,17420
"Cristiana/Evangélica (020)",42819,7876,9299,8643,6971,4661,5369
"Otra (021)",11199,2157,2390,2143,1701,1272,1536
"Ninguna (022)",9254,1924,2849,2131,1279,593,478
"Hombres (024)",102759,17685,21813,20742,17095,12495,12929
"Católica (025)",72100,11852,14755,14589,12313,9279,9312
"Cristiana/Evangélica (026)",19947,3753,4376,3910,3167,2234,2507
"Otra (027)",5288,1037,1121,989,796,583,762
"Ninguna (028)",5424,1043,1561,1254,819,399,348
"Mujeres (030)",105074,17785,23130,22522,17979,11784,11874
"Católica (031)",72461,11661,15650,15758,12810,8474,8108
"Cristiana/Evangélica (032)",22872,4123,4923,4733,3804,2427,2862
"Otra (033)",5911,1120,1269,1154,905,689,774
"Ninguna (034)",3830,881,1288,877,460,194,130
,,,,,,,
"RURAL (036)",35067,6550,7503,7181,5509,3869,4455
"Católica (037)",18670,3296,3800,3704,3087,2201,2582
"Cristiana/Evangélica (038)",10997,2166,2353,2323,1671,1171,1313
"Otra (039)",1812,330,419,351,250,218,244
"Ninguna (040)",3588,758,931,803,501,279,316
"Hombres (042)",19875,3500,3985,4031,3235,2345,2779
"Católica (043)",10997,1823,2110,2173,1858,1375,1658
"Cristiana/Evangélica (044)",5766,1080,1121,1209,937,658,761
"Otra (045)",982,170,220,186,131,123,152
"Ninguna (046)",2130,427,534,463,309,189,208
"Mujeres (048)",15192,3050,3518,3150,2274,1524,1676
"Católica (049)",7673,1473,1690,1531,1229,826,924
"Cristiana/Evangélica (050)",5231,1086,1232,1114,734,513,552
"Otra (051)",830,160,199,165,119,95,92
"Ninguna (052)",1458,331,397,340,192,90,108
