"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia EL COLLAO (000)",78773,23266,55507
"Casa independiente (001)",75981,22929,53052
"Departamento en edificio (002)",50,50,
"Vivienda en quinta (003)",111,111,
"Vivienda en casa de vecindad (004)",119,119,
"Choza o cabaña (005)",2437,,2437
"Vivienda improvisada (006)",24,24,
"Local no dest.para hab. humana (007)",42,32,10
"Otro tipo (008)",9,1,8
