"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia YUNGAY (000)",20294,19832,6510,2345,2407,1828,2820,1924,1123,875,462,56844
"De 12 a 14 años (001)",2039,2031,2021,10,,,,,,,8,10
"De 15 a 19 años (002)",2796,2763,2453,266,37,6,1,,,,33,362
"De 20 a 24 años (003)",2453,2296,1038,748,358,122,28,2,,,157,1956
"De 25 a 29 años (004)",2037,1931,347,524,543,291,200,23,3,,106,3496
"De 30 a 34 años (005)",1921,1878,155,294,529,350,423,110,15,2,43,5090
"De 35 a 39 años (006)",1721,1695,98,159,334,340,455,237,58,14,26,5976
"De 40 a 44 años (007)",1383,1362,74,94,162,183,399,279,130,41,21,6073
"De 45 a 49 años (008)",1207,1187,60,61,127,137,289,269,148,96,20,6086
"De 50 y más años (009)",4737,4689,264,189,317,399,1025,1004,769,722,48,27795
"Sin nivel (010)",7164,7074,846,591,729,693,1461,1214,814,726,90,33584
"De 12 a 14 años (011)",94,94,91,3,,,,,,,,3
"De 15 a 19 años (012)",259,256,197,45,11,3,,,,,3,76
"De 20 a 24 años (013)",452,437,155,143,82,44,11,2,,,15,495
"De 25 a 29 años (014)",517,503,66,111,135,83,94,13,1,,14,1119
"De 30 a 34 años (015)",608,600,49,64,133,121,171,54,7,1,8,1864
"De 35 a 39 años (016)",640,634,31,43,85,105,195,128,38,9,6,2622
"De 40 a 44 años (017)",640,635,31,33,50,54,188,157,87,35,5,3263
"De 45 a 49 años (018)",659,653,35,29,43,52,144,172,101,77,6,3754
"De 50 y más años (019)",3295,3262,191,120,190,231,658,688,580,604,33,20388
"Educacion Inicial (020)",59,57,19,7,11,4,11,4,1,,2,121
"De 12 a 14 años (021)",10,10,10,,,,,,,,,
"De 15 a 19 años (022)",6,6,5,1,,,,,,,,1
