"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia AIJA (000)",2181,1699,228,107,147
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",14,,1,1,12
"Profes., científicos e intelectuales (002)",180,59,59,45,17
"Técnicos de nivel medio y trab. asimilados (003)",30,13,3,2,12
"Jefes y empleados de oficina (004)",68,9,11,4,44
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",132,120,3,3,6
"Agricult.trabaj.calif.agrop.y pesqueros (006)",781,753,28,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",76,38,24,6,8
"Obreros construc.,conf.,papel, fab., instr. (008)",67,43,18,4,2
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",766,610,75,41,40
"Otra (010)",6,,,,6
"Ocupación no especificada (011)",61,54,6,1,
"Hombres (012)",1606,1216,195,97,98
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",10,,1,1,8
"Profes., científicos e intelectuales (014)",111,21,41,38,11
"Técnicos de nivel medio y trab. asimilados (015)",21,10,3,2,6
"Jefes y empleados de oficina (016)",34,2,7,4,21
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",33,26,1,2,4
"Agricult.trabaj.calif.agrop.y pesqueros (018)",703,675,28,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",70,32,24,6,8
"Obreros construc.,conf.,papel, fab., instr. (020)",67,43,18,4,2
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",529,391,67,39,32
"Otra (022)",6,,,,6
"Ocupación no especificada (023)",22,16,5,1,
"Mujeres (024)",575,483,33,10,49
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",4,,,,4
"Profes., científicos e intelectuales (026)",69,38,18,7,6
"Técnicos de nivel medio y trab. asimilados (027)",9,3,,,6
"Jefes y empleados de oficina (028)",34,7,4,,23
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",99,94,2,1,2
"Agricult.trabaj.calif.agrop.y pesqueros (030)",78,78,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",6,6,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",237,219,8,2,8
"Ocupación no especificada (035)",39,38,1,,
,,,,,
"URBANA (036)",788,521,104,62,101
