"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ICA (000)",129962,65092,12179,15394,37297
"Agric., ganadería, caza y silvicultura (001)",33194,7913,2498,4389,18394
"Pesca (002)",154,116,17,12,9
"Explotación de minas y canteras (003)",977,351,188,168,270
"Industrias manufactureras (004)",10023,4549,842,1021,3611
"Suministro de electricidad, gas y agua (005)",375,60,24,121,170
"Construcción (006)",7625,5042,1414,738,431
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",24124,20508,1796,1113,707
"Venta, mant.y rep. veh.autom y motoc. (008)",2473,1842,376,161,94
"Comercio al por mayor (009)",2417,1168,279,357,613
"Comercio al por menor (010)",19234,17498,1141,595,
"Hoteles y restaurantes (011)",5456,4139,672,416,229
"Trans., almac. y comunicaciones (012)",12884,10271,810,754,1049
"Intermediación financiera (013)",1027,112,88,458,369
"Activid.inmobil., empres. y alquileres (014)",7608,3678,962,1328,1640
"Admin.pub. y defensa; p. segur soc.afil (015)",4224,,,,4224
"Enseñanza (016)",9869,1200,1939,3942,2788
"Servicios sociales y de salud (017)",3917,904,221,196,2596
"Otras activ. serv.comun.soc y personales (018)",3169,2018,457,471,223
"Hogares privados con servicio doméstico (019)",2926,2926,,,
"Organiz. y organos extraterritoriales (020)",7,,1,4,2
"Actividad economica no especificada (021)",2403,1305,250,263,585
"Hombres (022)",80799,41960,8348,9191,21300
"Agric., ganadería, caza y silvicultura (023)",21592,6632,1959,2790,10211
"Pesca (024)",149,115,17,10,7
"Explotación de minas y canteras (025)",913,329,173,156,255
"Industrias manufactureras (026)",6403,3455,677,591,1680
"Suministro de electricidad, gas y agua (027)",317,52,20,111,134
"Construcción (028)",7392,4941,1366,698,387
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",12461,10085,1145,725,506
"Venta, mant.y rep. veh.autom y motoc. (030)",2222,1678,328,126,90
"Comercio al por mayor (031)",1538,678,186,258,416
"Comercio al por menor (032)",8701,7729,631,341,
"Hoteles y restaurantes (033)",1830,1200,309,203,118
"Trans., almac. y comunicaciones (034)",12093,9758,731,667,937
"Intermediación financiera (035)",570,76,52,238,204
"Activid.inmobil., empres. y alquileres (036)",5559,2690,690,942,1237
"Admin.pub. y defensa; p. segur soc.afil (037)",2862,,,,2862
"Enseñanza (038)",3822,289,650,1535,1348
