"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia BONGARA (000)",7074,6827,23,1438,1395,1076,1531,833,392,139,247,24342
"De 12 a 14 años (001)",10,4,1,3,,,,,,,6,3
"De 15 a 19 años (002)",273,238,3,198,30,6,1,,,,35,280
"De 20 a 24 años (003)",777,697,2,444,188,52,10,1,,,80,1025
"De 25 a 29 años (004)",854,816,1,306,299,133,72,5,,,38,1644
"De 30 a 34 años (005)",871,852,,153,282,213,171,33,,,19,2285
"De 35 a 39 años (006)",927,909,5,121,236,187,252,82,22,4,18,2990
"De 40 a 44 años (007)",756,739,3,60,121,154,246,108,44,3,17,2941
"De 45 a 49 años (008)",605,601,,36,70,103,194,124,58,16,4,2801
"De 50 y más años (009)",2001,1971,8,117,169,228,585,480,268,116,30,10373
"Sin nivel (010)",1143,1113,6,81,110,141,336,241,134,64,30,5591
"De 12 a 14 años (011)",1,,,,,,,,,,1,
"De 15 a 19 años (012)",8,6,,5,,1,,,,,2,8
"De 20 a 24 años (013)",34,30,,14,8,6,2,,,,4,56
"De 25 a 29 años (014)",44,44,,10,13,8,12,1,,,,121
"De 30 a 34 años (015)",74,73,,7,17,19,22,8,,,1,242
"De 35 a 39 años (016)",103,98,,6,16,16,37,17,5,1,5,405
"De 40 a 44 años (017)",123,121,,7,13,17,47,24,12,1,2,562
"De 45 a 49 años (018)",116,115,,2,5,15,36,33,19,5,1,648
"De 50 y más años (019)",640,626,6,30,38,59,180,158,98,57,14,3549
"Educacion Inicial (020)",11,10,,3,,2,4,1,,,1,34
"De 15 a 19 años (022)",1,1,,,,1,,,,,,3
"De 25 a 29 años (024)",1,1,,1,,,,,,,,1
"De 30 a 34 años (025)",4,3,,2,,,,1,,,1,9
