"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SULLANA (000)",93468,67321,8743,8486,8918
"Agric., ganadería, caza y silvicultura (001)",24451,20242,2316,1194,699
"Pesca (002)",385,191,59,40,95
"Explotación de minas y canteras (003)",298,156,31,26,85
"Industrias manufactureras (004)",6761,3955,760,901,1145
"Suministro de electricidad, gas y agua (005)",245,61,22,99,63
"Construcción (006)",4338,2924,702,464,248
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",21666,19348,1411,739,168
"Venta, mant.y rep. veh.autom y motoc. (008)",2025,1624,266,90,45
"Comercio al por mayor (009)",1192,706,163,200,123
"Comercio al por menor (010)",18449,17018,982,449,
"Hoteles y restaurantes (011)",3858,3293,396,141,28
"Trans., almac. y comunicaciones (012)",9283,7822,649,478,334
"Intermediación financiera (013)",369,70,51,138,110
"Activid.inmobil., empres. y alquileres (014)",3631,1735,540,688,668
"Admin.pub. y defensa; p. segur soc.afil (015)",2489,,,,2489
"Enseñanza (016)",6284,1126,1066,2863,1229
"Servicios sociales y de salud (017)",1550,353,74,122,1001
"Otras activ. serv.comun.soc y personales (018)",3359,2381,428,334,216
"Hogares privados con servicio doméstico (019)",2086,2086,,,
"Actividad economica no especificada (021)",2415,1578,238,259,340
"Hombres (022)",68338,50140,6727,5395,6076
"Agric., ganadería, caza y silvicultura (023)",23228,19387,2181,1079,581
"Pesca (024)",347,185,57,34,71
"Explotación de minas y canteras (025)",287,150,31,23,83
"Industrias manufactureras (026)",5336,3163,654,689,830
"Suministro de electricidad, gas y agua (027)",225,58,21,91,55
"Construcción (028)",4251,2892,686,433,240
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",13383,11788,964,491,140
"Venta, mant.y rep. veh.autom y motoc. (030)",1921,1549,247,80,45
"Comercio al por mayor (031)",825,467,108,155,95
"Comercio al por menor (032)",10637,9772,609,256,
"Hoteles y restaurantes (033)",1168,877,191,87,13
"Trans., almac. y comunicaciones (034)",8974,7591,621,447,315
"Intermediación financiera (035)",209,28,31,85,65
"Activid.inmobil., empres. y alquileres (036)",2754,1322,393,535,504
"Admin.pub. y defensa; p. segur soc.afil (037)",1879,,,,1879
"Enseñanza (038)",2195,312,390,976,517
"Servicios sociales y de salud (039)",560,132,23,37,368
