"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CONDESUYOS (000)",17949,783,1707,1901,1479,3294,2922,4300,1563
"Sabe leer y escribir (001)",15412,,1343,1887,1466,3257,2833,3656,970
"No sabe leer y escribir (002)",2537,783,364,14,13,37,89,644,593
"Hombres (004)",9985,378,849,950,776,2044,1814,2474,700
"Sabe leer y escribir (005)",9173,,680,945,773,2030,1792,2361,592
"No sabe leer y escribir (006)",812,378,169,5,3,14,22,113,108
"Mujeres (008)",7964,405,858,951,703,1250,1108,1826,863
"Sabe leer y escribir (009)",6239,,663,942,693,1227,1041,1295,378
"No sabe leer y escribir (010)",1725,405,195,9,10,23,67,531,485
,,,,,,,,,
"URBANA (012)",7347,285,771,908,732,1159,1055,1857,580
"Sabe leer y escribir (013)",6498,,611,904,731,1156,1025,1682,389
"No sabe leer y escribir (014)",849,285,160,4,1,3,30,175,191
"Hombres (016)",3752,143,386,454,375,615,504,1036,239
"Sabe leer y escribir (017)",3461,,311,452,374,614,497,1004,209
"No sabe leer y escribir (018)",291,143,75,2,1,1,7,32,30
"Mujeres (020)",3595,142,385,454,357,544,551,821,341
"Sabe leer y escribir (021)",3037,,300,452,357,542,528,678,180
"No sabe leer y escribir (022)",558,142,85,2,,2,23,143,161
,,,,,,,,,
"RURAL (024)",10602,498,936,993,747,2135,1867,2443,983
"Sabe leer y escribir (025)",8914,,732,983,735,2101,1808,1974,581
"No sabe leer y escribir (026)",1688,498,204,10,12,34,59,469,402
"Hombres (028)",6233,235,463,496,401,1429,1310,1438,461
"Sabe leer y escribir (029)",5712,,369,493,399,1416,1295,1357,383
"No sabe leer y escribir (030)",521,235,94,3,2,13,15,81,78
"Mujeres (032)",4369,263,473,497,346,706,557,1005,522
"Sabe leer y escribir (033)",3202,,363,490,336,685,513,617,198
"No sabe leer y escribir (034)",1167,263,110,7,10,21,44,388,324
