"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia DATEM DEL MARAÑON (000)",15850,1137,6570,4906,2777,460
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",37,,6,26,5,
"Profes., científicos e intelectuales (002)",791,,222,443,123,3
"Técnicos de nivel medio y trab. asimilados (003)",152,,52,78,20,2
"Jefes y empleados de oficina (004)",132,,58,46,28,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",677,17,251,261,134,14
"Agricult. trabaj. calif.agrop. y pesqueros (006)",6820,2,2494,2345,1644,335
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",314,2,128,116,62,6
"Obreros construc., conf., papel, fab., instr. (008)",239,2,101,87,44,5
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",6264,1105,3067,1358,653,81
"Otra (010)",27,,6,17,4,
"Ocupación no especificada (011)",397,9,185,129,60,14
"Hombres (012)",9754,576,3765,3182,1900,331
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",32,,4,24,4,
"Profes., científicos e intelectuales (014)",557,,129,319,107,2
"Técnicos de nivel medio y trab. asimilados (015)",113,,35,57,19,2
"Jefes y empleados de oficina (016)",99,,32,40,27,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",364,7,124,135,84,14
"Agricult. trabaj. calif.agrop. y pesqueros (018)",5254,,1788,1894,1316,256
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",277,2,113,106,51,5
"Obreros construc., conf., papel, fab., instr. (020)",235,2,99,86,43,5
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",2530,559,1311,418,203,39
"Otra (022)",26,,6,16,4,
"Ocupación no especificada (023)",267,6,124,87,42,8
"Mujeres (024)",6096,561,2805,1724,877,129
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",5,,2,2,1,
"Profes., científicos e intelectuales (026)",234,,93,124,16,1
"Técnicos de nivel medio y trab. asimilados (027)",39,,17,21,1,
"Jefes y empleados de oficina (028)",33,,26,6,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",313,10,127,126,50,
"Agricult. trabaj. calif.agrop. y pesqueros (030)",1566,2,706,451,328,79
"Obreros y oper.minas, cant.,ind.manuf. y otros (031)",37,,15,10,11,1
"Obreros construc., conf., papel, fab., instr. (032)",4,,2,1,1,
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (033)",3734,546,1756,940,450,42
