"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
"Sin nivel (061)",238,204,25,4,5
"Educación inicial (062)",8,7,1,,
"Primaria (063)",1492,1349,99,15,29
"Secundaria (064)",1559,1304,154,34,67
"Superior no univ. incompleta (065)",182,125,27,16,14
"Superior no univ. completa (066)",290,121,73,57,39
"Superior univ. incompleta (067)",82,46,16,10,10
"Superior univ. completa (068)",265,104,87,47,27
"De 06 a 14 años (070)",188,154,26,7,1
"Sin nivel (071)",2,2,,,
"Educación inicial (072)",6,5,1,,
"Primaria (073)",137,114,16,6,1
"Secundaria (074)",43,33,9,1,
"De 15 a 29 años (080)",1547,1255,168,52,72
"Sin nivel (081)",31,27,3,,1
"Educación inicial (082)",1,1,,,
"Primaria (083)",374,334,26,3,11
"Secundaria (084)",882,752,80,20,30
"Superior no univ. incompleta (085)",87,65,10,4,8
"Superior no univ. completa (086)",77,32,23,14,8
"Superior univ. incompleta (087)",22,15,3,3,1
"Superior univ. completa (088)",73,29,23,8,13
"De 30 a 44 años (090)",1426,1039,204,93,90
"Sin nivel (091)",61,50,9,1,1
"Educación inicial (092)",1,1,,,
"Primaria (093)",506,456,34,3,13
"Secundaria (094)",447,369,42,10,26
"Superior no univ. incompleta (095)",60,35,11,9,5
"Superior no univ. completa (096)",173,64,43,36,30
"Superior univ. incompleta (097)",38,15,12,5,6
"Superior univ. completa (098)",140,49,53,29,9
"De 45 a 64 años (100)",833,696,80,29,28
"Sin nivel (101)",117,100,13,1,3
"Primaria (103)",402,374,21,3,4
"Secundaria (104)",176,140,22,3,11
"Superior no univ. incompleta (105)",33,23,6,3,1
"Superior no univ. completa (106)",39,24,7,7,1
"Superior univ. incompleta (107)",20,14,1,2,3
"Superior univ. completa (108)",46,21,10,10,5
"De 65 y más años (110)",122,116,4,2,
"Sin nivel (111)",27,25,,2,
"Primaria (113)",73,71,2,,
"Secundaria (114)",11,10,1,,
"Superior no univ. incompleta (115)",2,2,,,
"Superior no univ. completa (116)",1,1,,,
"Superior univ. incompleta (117)",2,2,,,
"Superior univ. completa (118)",6,5,1,,
,,,,,
"RURAL (120)",11734,9986,1407,163,178
"Sin nivel (121)",2687,2311,355,20,1
"Educación inicial (122)",64,58,5,1,
"Primaria (123)",6018,5337,612,52,17
"Secundaria (124)",2326,1977,256,38,55
"Superior no univ. incompleta (125)",197,118,47,12,20
"Superior no univ. completa (126)",232,98,63,22,49
"Superior univ. incompleta (127)",94,49,27,5,13
"Superior univ. completa (128)",116,38,42,13,23
"De 06 a 14 años (130)",949,851,84,14,
"Sin nivel (131)",143,135,8,,
"Educación inicial (132)",38,37,,1,
"Primaria (133)",734,649,73,12,
"Secundaria (134)",34,30,3,1,
"De 15 a 29 años (140)",5023,4360,547,66,50
"Sin nivel (141)",754,667,80,7,
"Educación inicial (142)",22,17,5,,
"Primaria (143)",2546,2278,244,20,4
"Secundaria (144)",1499,1294,166,18,21
"Superior no univ. incompleta (145)",73,49,15,6,3
"Superior no univ. completa (146)",69,25,20,10,14
"Superior univ. incompleta (147)",35,22,8,1,4
"Superior univ. completa (148)",25,8,9,4,4
"De 30 a 44 años (150)",3480,2834,511,57,78
"Sin nivel (151)",812,681,122,8,1
"Educación inicial (152)",4,4,,,
"Primaria (153)",1693,1462,212,12,7
"Secundaria (154)",647,537,72,12,26
"Superior no univ. incompleta (155)",91,50,28,6,7
"Superior no univ. completa (156)",127,57,37,10,23
"Superior univ. incompleta (157)",43,19,16,3,5
"Superior univ. completa (158)",63,24,24,6,9
"De 45 a 64 años (160)",1944,1653,219,23,49
"Sin nivel (161)",799,679,117,3,
"Primaria (163)",898,819,66,7,6
"Secundaria (164)",135,106,14,7,8
"Superior no univ. incompleta (165)",33,19,4,,10
"Superior no univ. completa (166)",35,16,6,2,11
"Superior univ. incompleta (167)",16,8,3,1,4
"Superior univ. completa (168)",28,6,9,3,10
"De 65 y más años (170)",338,288,46,3,1
"Sin nivel (171)",179,149,28,2,
"Primaria (173)",147,129,17,1,
"Secundaria (174)",11,10,1,,
"Superior no univ. completa (176)",1,,,,1
