"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia TAHUAMANU (000)",10123,418,908,966,907,2224,1969,2331,400
"Sin nivel (001)",901,418,90,6,7,22,85,164,109
"Educación inicial (002)",212,,205,3,2,1,1,,
"Primaria (003)",2703,,613,618,98,232,326,626,190
"Secundaria (004)",4022,,,339,716,1156,841,909,61
"Superior no univ. incompleto (005)",694,,,,70,276,177,157,14
"Superior no univ. completo (006)",833,,,,,310,293,215,15
"Superior univ. incompleto (007)",270,,,,14,90,72,89,5
"Superior univ. completo (008)",488,,,,,137,174,171,6
"Hombres (010)",6128,204,465,478,483,1338,1289,1613,258
"Sin nivel (011)",385,204,40,6,4,9,35,46,41
"Educación inicial (012)",109,,105,2,2,,,,
"Primaria (013)",1458,,320,298,61,111,162,371,135
"Secundaria (014)",2641,,,172,383,730,598,709,49
"Superior no univ. incompleto (015)",460,,,,26,167,127,127,13
"Superior no univ. completo (016)",534,,,,,181,192,150,11
"Superior univ. incompleto (017)",193,,,,7,54,57,72,3
"Superior univ. completo (018)",348,,,,,86,118,138,6
"Mujeres (020)",3995,214,443,488,424,886,680,718,142
"Sin nivel (021)",516,214,50,,3,13,50,118,68
"Educación inicial (022)",103,,100,1,,1,1,,
"Primaria (023)",1245,,293,320,37,121,164,255,55
"Secundaria (024)",1381,,,167,333,426,243,200,12
"Superior no univ. incompleto (025)",234,,,,44,109,50,30,1
"Superior no univ. completo (026)",299,,,,,129,101,65,4
"Superior univ. incompleto (027)",77,,,,7,36,15,17,2
"Superior univ. completo (028)",140,,,,,51,56,33,
,,,,,,,,,
"URBANA (030)",7164,304,644,688,673,1653,1427,1543,232
"Sin nivel (031)",538,304,62,3,4,10,31,68,56
"Educación inicial (032)",148,,143,3,1,1,,,
"Primaria (033)",1653,,439,419,51,116,173,343,112
"Secundaria (034)",2986,,,263,541,849,638,655,40
"Superior no univ. incompleto (035)",546,,,,65,220,148,105,8
"Superior no univ. completo (036)",651,,,,,263,228,152,8
"Superior univ. incompleto (037)",220,,,,11,71,61,74,3
"Superior univ. completo (038)",422,,,,,123,148,146,5
"Hombres (040)",4217,143,326,326,348,974,907,1054,139
"Sin nivel (041)",219,143,26,3,2,4,13,14,14
"Educación inicial (042)",69,,66,2,1,,,,
"Primaria (043)",832,,234,192,25,54,71,181,75
"Secundaria (044)",1885,,,129,290,511,431,494,30
"Superior no univ. incompleto (045)",344,,,,24,134,99,80,7
"Superior no univ. completo (046)",411,,,,,156,144,106,5
"Superior univ. incompleto (047)",160,,,,6,40,48,63,3
"Superior univ. completo (048)",297,,,,,75,101,116,5
"Mujeres (050)",2947,161,318,362,325,679,520,489,93
"Sin nivel (051)",319,161,36,,2,6,18,54,42
"Educación inicial (052)",79,,77,1,,1,,,
"Primaria (053)",821,,205,227,26,62,102,162,37
"Secundaria (054)",1101,,,134,251,338,207,161,10
"Superior no univ. incompleto (055)",202,,,,41,86,49,25,1
"Superior no univ. completo (056)",240,,,,,107,84,46,3
"Superior univ. incompleto (057)",60,,,,5,31,13,11,
"Superior univ. completo (058)",125,,,,,48,47,30,
,,,,,,,,,
"RURAL (060)",2959,114,264,278,234,571,542,788,168
"Sin nivel (061)",363,114,28,3,3,12,54,96,53
"Educación inicial (062)",64,,62,,1,,1,,
"Primaria (063)",1050,,174,199,47,116,153,283,78
"Secundaria (064)",1036,,,76,175,307,203,254,21
"Superior no univ. incompleto (065)",148,,,,5,56,29,52,6
"Superior no univ. completo (066)",182,,,,,47,65,63,7
"Superior univ. incompleto (067)",50,,,,3,19,11,15,2
"Superior univ. completo (068)",66,,,,,14,26,25,1
"Hombres (070)",1911,61,139,152,135,364,382,559,119
"Sin nivel (071)",166,61,14,3,2,5,22,32,27
"Educación inicial (072)",40,,39,,1,,,,
"Primaria (073)",626,,86,106,36,57,91,190,60
"Secundaria (074)",756,,,43,93,219,167,215,19
"Superior no univ. incompleto (075)",116,,,,2,33,28,47,6
"Superior no univ. completo (076)",123,,,,,25,48,44,6
"Superior univ. incompleto (077)",33,,,,1,14,9,9,
"Superior univ. completo (078)",51,,,,,11,17,22,1
"Mujeres (080)",1048,53,125,126,99,207,160,229,49
"Sin nivel (081)",197,53,14,,1,7,32,64,26
"Educación inicial (082)",24,,23,,,,1,,
"Primaria (083)",424,,88,93,11,59,62,93,18
"Secundaria (084)",280,,,33,82,88,36,39,2
"Superior no univ. incompleto (085)",32,,,,3,23,1,5,
"Superior no univ. completo (086)",59,,,,,22,17,19,1
"Superior univ. incompleto (087)",17,,,,2,5,2,6,2
"Superior univ. completo (088)",15,,,,,3,9,3,
