"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
"De 35 a 39 años (046)",3092,,,,21,878,1693,500
"De 40 a 44 años (047)",2663,,,,142,1114,1041,366
"De 45 a 49 años (048)",2245,,,8,347,1095,488,307
"De 50 y más años (049)",7058,93,448,1281,2044,1241,70,1881
,,,,,,,,
"URBANA (060)",13153,38,148,508,1166,2810,4524,3959
"De 12 a 14 años (061)",27,,,,,,2,25
"De 15 a 19 años (062)",445,,,,,,236,209
"De 20 a 24 años (063)",1515,,,,,5,767,743
"De 25 a 29 años (064)",1968,,,,,131,1070,767
"De 30 a 34 años (065)",1885,,,,,375,984,526
"De 35 a 39 años (066)",1871,,,,20,603,822,426
"De 40 a 44 años (067)",1485,,,,116,647,456,266
"De 45 a 49 años (068)",1144,,,8,223,547,163,203
"De 50 y más años (069)",2813,38,148,500,807,502,24,794
"PEA (070)",6630,5,37,180,635,1666,2125,1982
"De 12 a 14 años (071)",1,,,,,,,1
"De 15 a 19 años (072)",139,,,,,,77,62
"De 20 a 24 años (073)",618,,,,,2,302,314
"De 25 a 29 años (074)",991,,,,,70,487,434
"De 30 a 34 años (075)",1043,,,,,225,494,324
"De 35 a 39 años (076)",1090,,,,15,378,451,246
"De 40 a 44 años (077)",890,,,,74,406,238,172
"De 45 a 49 años (078)",659,,,4,139,327,66,123
"De 50 y más años (079)",1199,5,37,176,407,258,10,306
"Ocupada (080)",6302,3,37,178,615,1611,2010,1848
"De 15 a 19 años (082)",131,,,,,,72,59
"De 20 a 24 años (083)",559,,,,,2,271,286
"De 25 a 29 años (084)",911,,,,,66,454,391
"De 30 a 34 años (085)",980,,,,,213,473,294
"De 35 a 39 años (086)",1040,,,,15,362,434,229
"De 40 a 44 años (087)",868,,,,74,398,232,164
"De 45 a 49 años (088)",633,,,4,128,314,64,123
"De 50 y más años (089)",1180,3,37,174,398,256,10,302
"Desocupada (090)",328,2,,2,20,55,115,134
"De 12 a 14 años (091)",1,,,,,,,1
"De 15 a 19 años (092)",8,,,,,,5,3
"De 20 a 24 años (093)",59,,,,,,31,28
"De 25 a 29 años (094)",80,,,,,4,33,43
"De 30 a 34 años (095)",63,,,,,12,21,30
"De 35 a 39 años (096)",50,,,,,16,17,17
"De 40 a 44 años (097)",22,,,,,8,6,8
"De 45 a 49 años (098)",26,,,,11,13,2,
"De 50 y más años (099)",19,2,,2,9,2,,4
"No PEA (100)",6523,33,111,328,531,1144,2399,1977
"De 12 a 14 años (101)",26,,,,,,2,24
"De 15 a 19 años (102)",306,,,,,,159,147
"De 20 a 24 años (103)",897,,,,,3,465,429
"De 25 a 29 años (104)",977,,,,,61,583,333
"De 30 a 34 años (105)",842,,,,,150,490,202
"De 35 a 39 años (106)",781,,,,5,225,371,180
"De 40 a 44 años (107)",595,,,,42,241,218,94
"De 45 a 49 años (108)",485,,,4,84,220,97,80
"De 50 y más años (109)",1614,33,111,324,400,244,14,488
,,,,,,,,
"RURAL (120)",28239,64,387,1198,2728,5511,11594,6757
"De 12 a 14 años (121)",73,,,,,,11,62
"De 15 a 19 años (122)",1348,,,,,,779,569
"De 20 a 24 años (123)",3670,,,,,11,2325,1334
"De 25 a 29 años (124)",3907,,,,,192,2648,1067
"De 30 a 34 años (125)",3373,,,,2,508,2203,660
"De 35 a 39 años (126)",3358,,,,25,957,1869,507
"De 40 a 44 años (127)",2949,,,,140,1242,1134,433
"De 45 a 49 años (128)",2530,,,9,389,1230,549,353
"De 50 y más años (129)",7031,64,387,1189,2172,1371,76,1772
"PEA (130)",7709,4,50,237,704,1625,3081,2008
"De 12 a 14 años (131)",11,,,,,,2,9
"De 15 a 19 años (132)",264,,,,,,146,118
"De 20 a 24 años (133)",1019,,,,,1,607,411
"De 25 a 29 años (134)",1126,,,,,67,690,369
"De 30 a 34 años (135)",1004,,,,1,155,600,248
"De 35 a 39 años (136)",1047,,,,9,304,547,187
"De 40 a 44 años (137)",881,,,,40,369,311,161
"De 45 a 49 años (138)",770,,,5,126,355,158,126
"De 50 y más años (139)",1587,4,50,232,528,374,20,379
"Ocupada (140)",7603,4,49,236,701,1613,3042,1958
"De 12 a 14 años (141)",11,,,,,,2,9
"De 15 a 19 años (142)",259,,,,,,144,115
"De 20 a 24 años (143)",986,,,,,1,595,390
"De 25 a 29 años (144)",1102,,,,,66,680,356
"De 30 a 34 años (145)",990,,,,1,155,594,240
"De 35 a 39 años (146)",1037,,,,8,300,542,187
"De 40 a 44 años (147)",873,,,,39,367,309,158
"De 45 a 49 años (148)",765,,,5,126,353,156,125
"De 50 y más años (149)",1580,4,49,231,527,371,20,378
"Desocupada (150)",106,,1,1,3,12,39,50
"De 15 a 19 años (152)",5,,,,,,2,3
"De 20 a 24 años (153)",33,,,,,,12,21
"De 25 a 29 años (154)",24,,,,,1,10,13
"De 30 a 34 años (155)",14,,,,,,6,8
"De 35 a 39 años (156)",10,,,,1,4,5,
"De 40 a 44 años (157)",8,,,,1,2,2,3
"De 45 a 49 años (158)",5,,,,,2,2,1
"De 50 y más años (159)",7,,1,1,1,3,,1
"No PEA (160)",20530,60,337,961,2024,3886,8513,4749
"De 12 a 14 años (161)",62,,,,,,9,53
"De 15 a 19 años (162)",1084,,,,,,633,451
"De 20 a 24 años (163)",2651,,,,,10,1718,923
"De 25 a 29 años (164)",2781,,,,,125,1958,698
"De 30 a 34 años (165)",2369,,,,1,353,1603,412
"De 35 a 39 años (166)",2311,,,,16,653,1322,320
"De 40 a 44 años (167)",2068,,,,100,873,823,272
"De 45 a 49 años (168)",1760,,,4,263,875,391,227
"De 50 y más años (169)",5444,60,337,957,1644,997,56,1393
