"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia CORONEL PORTILLO (000)",160872,134029,26843
"De 3 a 5 años (001)",23316,2007,21309
"De 6 a 11 años (002)",43090,38323,4767
"De 12 a 16 años (003)",42020,41722,298
"De 17 a 24 años (004)",52446,51977,469
"Hombres (005)",80902,67150,13752
"De 3 a 5 años (006)",11934,1000,10934
"De 6 a 11 años (007)",21985,19528,2457
"De 12 a 16 años (008)",21185,21037,148
"De 17 a 24 años (009)",25798,25585,213
"Mujeres (010)",79970,66879,13091
"De 3 a 5 años (011)",11382,1007,10375
"De 6 a 11 años (012)",21105,18795,2310
"De 12 a 16 años (013)",20835,20685,150
"De 17 a 24 años (014)",26648,26392,256
,,,
"URBANA (015)",134538,113660,20878
"De 3 a 5 años (016)",18845,1725,17120
"De 6 a 11 años (017)",35280,31986,3294
"De 12 a 16 años (018)",35470,35263,207
"De 17 a 24 años (019)",44943,44686,257
"Hombres (020)",67017,56369,10648
"De 3 a 5 años (021)",9572,852,8720
"De 6 a 11 años (022)",17947,16244,1703
"De 12 a 16 años (023)",17685,17579,106
"De 17 a 24 años (024)",21813,21694,119
"Mujeres (025)",67521,57291,10230
"De 3 a 5 años (026)",9273,873,8400
"De 6 a 11 años (027)",17333,15742,1591
"De 12 a 16 años (028)",17785,17684,101
"De 17 a 24 años (029)",23130,22992,138
,,,
"RURAL (030)",26334,20369,5965
"De 3 a 5 años (031)",4471,282,4189
"De 6 a 11 años (032)",7810,6337,1473
"De 12 a 16 años (033)",6550,6459,91
"De 17 a 24 años (034)",7503,7291,212
"Hombres (035)",13885,10781,3104
"De 3 a 5 años (036)",2362,148,2214
"De 6 a 11 años (037)",4038,3284,754
"De 12 a 16 años (038)",3500,3458,42
"De 17 a 24 años (039)",3985,3891,94
"Mujeres (040)",12449,9588,2861
"De 3 a 5 años (041)",2109,134,1975
"De 6 a 11 años (042)",3772,3053,719
"De 12 a 16 años (043)",3050,3001,49
"De 17 a 24 años (044)",3518,3400,118
