"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia BELLAVISTA (000)",15880,15553,3841,2231,2382,1902,2361,1356,796,684,327,46354
"De 12 a 14 años (001)",1715,1693,1672,18,3,,,,,,22,24
"De 15 a 19 años (002)",2262,2182,1474,574,120,10,4,,,,80,860
"De 20 a 24 años (003)",2029,1939,366,778,557,193,43,2,,,90,2668
"De 25 a 29 años (004)",1890,1836,124,425,602,406,256,20,3,,54,4084
"De 30 a 34 años (005)",1678,1657,68,175,477,386,442,90,15,4,21,4949
"De 35 a 39 años (006)",1503,1494,48,92,259,361,490,190,41,13,9,5553
"De 40 a 44 años (007)",1241,1223,28,48,150,230,407,222,97,41,18,5530
"De 45 a 49 años (008)",947,939,15,43,88,138,251,205,132,67,8,4913
"De 50 y más años (009)",2615,2590,46,78,126,178,468,627,508,559,25,17773
"Conviviente (010)",6528,6383,508,1403,1403,1022,1143,527,227,150,145,19280
"De 12 a 14 años (011)",62,45,31,12,2,,,,,,17,16
"De 15 a 19 años (012)",798,731,226,406,90,8,1,,,,67,614
"De 20 a 24 años (013)",1257,1230,128,539,394,141,26,2,,,27,1874
"De 25 a 29 años (014)",1173,1158,52,252,405,274,164,9,2,,15,2642
"De 30 a 34 años (015)",1000,995,27,93,292,245,272,61,4,1,5,3012
"De 35 a 39 años (016)",794,793,22,51,127,179,279,114,17,4,1,2993
"De 40 a 44 años (017)",514,507,12,13,39,90,183,107,49,14,7,2424
"De 45 a 49 años (018)",364,363,4,15,27,41,106,83,58,29,1,2004
"De 50 y más años (019)",566,561,6,22,27,44,112,151,97,102,5,3701
"Separado(a) (020)",402,392,7,103,96,53,58,39,22,14,10,1318
"De 15 a 19 años (022)",33,30,1,27,2,,,,,,3,31
"De 20 a 24 años (023)",55,52,,27,21,3,1,,,,3,82
