"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia YUNGUYO (000)",18617,18045,5894,1891,2014,1885,2839,2000,1028,494,572,51105
"De 12 a 14 años (001)",1673,1665,1661,4,,,,,,,8,4
"De 15 a 19 años (002)",2264,2235,2069,143,15,4,4,,,,29,201
"De 20 a 24 años (003)",1720,1540,821,445,187,62,23,2,,,180,1115
"De 25 a 29 años (004)",1687,1515,412,399,357,209,126,10,2,,172,2351
"De 30 a 34 años (005)",1588,1523,203,219,406,320,296,65,14,,65,3813
"De 35 a 39 años (006)",1581,1536,126,174,333,318,395,148,39,3,45,4830
"De 40 a 44 años (007)",1279,1258,96,109,181,209,361,200,85,17,21,4895
"De 45 a 49 años (008)",1193,1179,82,77,138,170,291,258,116,47,14,5313
"De 50 y más años (009)",5632,5594,424,321,397,593,1343,1317,772,427,38,28583
"Sin nivel (010)",4852,4810,416,264,354,479,1158,1112,662,365,42,24337
"De 12 a 14 años (011)",11,11,11,,,,,,,,,
"De 15 a 19 años (012)",13,13,10,1,,1,1,,,,,8
"De 20 a 24 años (013)",26,22,6,7,4,1,3,1,,,4,37
"De 25 a 29 años (014)",44,42,6,8,15,5,7,1,,,2,90
"De 30 a 34 años (015)",95,92,21,7,17,18,20,8,1,,3,244
"De 35 a 39 años (016)",143,140,19,16,21,21,38,19,5,1,3,470
"De 40 a 44 años (017)",214,209,19,14,21,24,61,40,24,6,5,927
"De 45 a 49 años (018)",359,356,21,19,31,33,86,92,50,24,3,1842
"De 50 y más años (019)",3947,3925,303,192,245,376,942,951,582,334,22,20719
"Educacion Inicial (020)",27,26,7,5,3,4,5,1,1,,1,58
"De 12 a 14 años (021)",4,4,4,,,,,,,,,
"De 20 a 24 años (023)",2,1,,,,1,,,,,1,3
