"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia SAN MIGUEL (000)",14817,45,973,152,158,579,6763,477,362,4870,57,381
"Agric., ganadería, caza y silvicultura (001)",10893,,5,5,1,,6761,,3,4118,,
"Pesca (002)",2,,,,,,2,,,,,
"Explotación de minas y canteras (003)",20,,,,1,,,4,,15,,
"Industrias manufactureras (004)",472,,,5,4,12,,422,26,3,,
"Suministro de electricidad, gas y agua (005)",10,,,1,,,,4,1,4,,
"Construcción (006)",298,,9,7,2,,,7,138,135,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",605,,4,13,,433,,31,2,122,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",18,,,,,2,,15,1,,,
"Comercio al por mayor (009)",45,,2,6,,36,,,1,,,
"Comercio al por menor (010)",542,,2,7,,395,,16,,122,,
"Hoteles y restaurantes (011)",166,,2,2,1,110,,,,51,,
"Trans., almac. y comunicaciones (012)",214,,,4,9,,,1,173,27,,
"Intermediación financiera (013)",3,,1,,2,,,,,,,
"Activid.inmobil., empres. y alquileres (014)",51,,11,11,8,5,,2,4,10,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",299,38,19,8,92,10,,2,13,60,57,
"Enseñanza (016)",887,7,859,2,11,,,,,8,,
"Servicios sociales y de salud (017)",132,,56,64,6,4,,1,,1,,
"Otras activ. serv.comun.soc y personales (018)",87,,5,29,8,5,,3,1,36,,
"Hogares privados con servicio doméstico (019)",280,,,,,,,,1,279,,
"Actividad economica no especificada (021)",398,,2,1,13,,,,,1,,381
"Hombres (022)",12409,38,526,104,95,292,6456,293,348,4051,57,149
"Agric., ganadería, caza y silvicultura (023)",10150,,4,5,1,,6454,,3,3683,,
"Pesca (024)",2,,,,,,2,,,,,
"Explotación de minas y canteras (025)",20,,,,1,,,4,,15,,
"Industrias manufactureras (026)",266,,,3,3,5,,239,13,3,,
"Suministro de electricidad, gas y agua (027)",10,,,1,,,,4,1,4,,
"Construcción (028)",296,,8,7,2,,,7,138,134,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",376,,2,12,,253,,30,2,77,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",17,,,,,1,,15,1,,,
"Comercio al por mayor (031)",32,,1,6,,24,,,1,,,
"Comercio al por menor (032)",327,,1,6,,228,,15,,77,,
"Hoteles y restaurantes (033)",30,,2,1,1,16,,,,10,,
"Trans., almac. y comunicaciones (034)",202,,,3,4,,,1,172,22,,
"Intermediación financiera (035)",3,,1,,2,,,,,,,
"Activid.inmobil., empres. y alquileres (036)",37,,9,7,2,5,,2,4,8,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",250,33,14,6,60,10,,2,13,55,57,
"Enseñanza (038)",476,5,459,2,5,,,,,5,,
"Servicios sociales y de salud (039)",61,,23,32,2,2,,1,,1,,
"Otras activ. serv.comun.soc y personales (040)",55,,3,24,5,1,,3,1,18,,
"Hogares privados con servicio doméstico (041)",16,,,,,,,,1,15,,
"Actividad economica no especificada (043)",159,,1,1,7,,,,,1,,149
"Mujeres (044)",2408,7,447,48,63,287,307,184,14,819,,232
"Agric., ganadería, caza y silvicultura (045)",743,,1,,,,307,,,435,,
"Industrias manufactureras (048)",206,,,2,1,7,,183,13,,,
"Construcción (050)",2,,1,,,,,,,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",229,,2,1,,180,,1,,45,,
"Venta, mant.y rep. veh.autom.y motoc. (052)",1,,,,,1,,,,,,
"Comercio al por mayor (053)",13,,1,,,12,,,,,,
"Comercio al por menor (054)",215,,1,1,,167,,1,,45,,
"Hoteles y restaurantes (055)",136,,,1,,94,,,,41,,
"Trans., almac. y comunicaciones (056)",12,,,1,5,,,,1,5,,
"Activid.inmobil., empres. y alquileres (058)",14,,2,4,6,,,,,2,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",49,5,5,2,32,,,,,5,,
"Enseñanza (060)",411,2,400,,6,,,,,3,,
"Servicios sociales y de salud (061)",71,,33,32,4,2,,,,,,
"Otras activ. serv.comun.soc y personales (062)",32,,2,5,3,4,,,,18,,
"Hogares privados con servicio doméstico (063)",264,,,,,,,,,264,,
"Actividad economica no especificada (065)",239,,1,,6,,,,,,,232
,,,,,,,,,,,,
"URBANA (066)",3078,31,597,91,116,418,585,207,198,665,49,121
"Agric., ganadería, caza y silvicultura (067)",945,,3,4,,,583,,1,354,,
"Pesca (068)",2,,,,,,2,,,,,
"Explotación de minas y canteras (069)",6,,,,,,,1,,5,,
"Industrias manufactureras (070)",193,,,2,2,8,,166,14,1,,
"Suministro de electricidad, gas y agua (071)",7,,,1,,,,2,1,3,,
"Construcción (072)",83,,7,1,,,,3,54,18,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",424,,4,8,,318,,26,2,66,,
"Venta, mant.y rep. veh.autom.y motoc. (074)",14,,,,,1,,12,1,,,
"Comercio al por mayor (075)",26,,2,3,,20,,,1,,,
"Comercio al por menor (076)",384,,2,5,,297,,14,,66,,
"Hoteles y restaurantes (077)",126,,2,2,1,82,,,,39,,
"Trans., almac. y comunicaciones (078)",133,,,3,7,,,1,109,13,,
"Intermediación financiera (079)",3,,1,,2,,,,,,,
"Activid.inmobil., empres. y alquileres (080)",36,,9,8,5,1,,2,3,8,,
"Admin.pub. y defensa; p. segur.soc.afil (081)",218,27,18,8,69,3,,2,12,30,49,
"Enseñanza (082)",522,4,505,1,8,,,,,4,,
"Servicios sociales y de salud (083)",87,,43,35,5,2,,1,,1,,
"Otras activ. serv.comun.soc y personales (084)",52,,3,17,5,4,,3,1,19,,
"Hogares privados con servicio doméstico (085)",104,,,,,,,,1,103,,
"Actividad economica no especificada (087)",137,,2,1,12,,,,,1,,121
"Hombres (088)",2090,28,297,60,64,201,539,166,186,441,49,59
"Agric., ganadería, caza y silvicultura (089)",856,,3,4,,,537,,1,311,,
"Pesca (090)",2,,,,,,2,,,,,
"Explotación de minas y canteras (091)",6,,,,,,,1,,5,,
"Industrias manufactureras (092)",136,,,1,2,3,,126,3,1,,
"Suministro de electricidad, gas y agua (093)",7,,,1,,,,2,1,3,,
"Construcción (094)",82,,6,1,,,,3,54,18,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",249,,2,8,,177,,25,2,35,,
"Venta, mant.y rep. veh.autom.y motoc. (096)",14,,,,,1,,12,1,,,
"Comercio al por mayor (097)",19,,1,3,,14,,,1,,,
"Comercio al por menor (098)",216,,1,5,,162,,13,,35,,
"Hoteles y restaurantes (099)",26,,2,1,1,14,,,,8,,
"Trans., almac. y comunicaciones (100)",122,,,2,2,,,1,108,9,,
"Intermediación financiera (101)",3,,1,,2,,,,,,,
"Activid.inmobil., empres. y alquileres (102)",24,,7,4,1,1,,2,3,6,,
"Admin.pub. y defensa; p. segur.soc.afil (103)",179,25,13,6,43,3,,2,12,26,49,
"Enseñanza (104)",250,3,243,1,2,,,,,1,,
"Servicios sociales y de salud (105)",39,,17,16,2,2,,1,,1,,
"Otras activ. serv.comun.soc y personales (106)",33,,2,14,3,1,,3,1,9,,
"Hogares privados con servicio doméstico (107)",8,,,,,,,,1,7,,
"Actividad economica no especificada (109)",68,,1,1,6,,,,,1,,59
"Mujeres (110)",988,3,300,31,52,217,46,41,12,224,,62
"Agric., ganadería, caza y silvicultura (111)",89,,,,,,46,,,43,,
"Industrias manufactureras (114)",57,,,1,,5,,40,11,,,
"Construcción (116)",1,,1,,,,,,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",175,,2,,,141,,1,,31,,
"Comercio al por mayor (119)",7,,1,,,6,,,,,,
"Comercio al por menor (120)",168,,1,,,135,,1,,31,,
"Hoteles y restaurantes (121)",100,,,1,,68,,,,31,,
"Trans., almac. y comunicaciones (122)",11,,,1,5,,,,1,4,,
"Activid.inmobil., empres. y alquileres (124)",12,,2,4,4,,,,,2,,
"Admin.pub. y defensa; p. segur.soc.afil (125)",39,2,5,2,26,,,,,4,,
"Enseñanza (126)",272,1,262,,6,,,,,3,,
"Servicios sociales y de salud (127)",48,,26,19,3,,,,,,,
"Otras activ. serv.comun.soc y personales (128)",19,,1,3,2,3,,,,10,,
"Hogares privados con servicio doméstico (129)",96,,,,,,,,,96,,
"Actividad economica no especificada (131)",69,,1,,6,,,,,,,62
,,,,,,,,,,,,
"RURAL (132)",11739,14,376,61,42,161,6178,270,164,4205,8,260
"Agric., ganadería, caza y silvicultura (133)",9948,,2,1,1,,6178,,2,3764,,
"Explotación de minas y canteras (135)",14,,,,1,,,3,,10,,
