"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia OTUZCO (000)",865,40,425,234,123,43
"Conviviente (001)",266,,100,114,42,10
"Separado(a) (002)",24,,4,10,7,3
"Casado(a) (003)",155,,18,60,59,18
"Viudo(a) (004)",14,,,2,5,7
"Divorciado(a) (005)",4,,1,,2,1
"Soltero(a) (006)",402,40,302,48,8,4
"Hombres (008)",686,25,317,202,105,37
"Conviviente (009)",226,,80,102,35,9
"Separado(a) (010)",14,,,6,5,3
"Casado(a) (011)",138,,12,56,54,16
"Viudo(a) (012)",13,,,2,4,7
"Divorciado(a) (013)",2,,1,,1,
"Soltero(a) (014)",293,25,224,36,6,2
"Mujeres (016)",179,15,108,32,18,6
"Conviviente (017)",40,,20,12,7,1
"Separado(a) (018)",10,,4,4,2,
"Casado(a) (019)",17,,6,4,5,2
"Viudo(a) (020)",1,,,,1,
"Divorciado(a) (021)",2,,,,1,1
"Soltero(a) (022)",109,15,78,12,2,2
,,,,,,
"AREA URBANA (024)",373,4,199,95,52,23
"Conviviente (025)",110,,50,44,14,2
"Separado(a) (026)",13,,3,5,3,2
"Casado(a) (027)",71,,8,20,31,12
"Viudo(a) (028)",6,,,1,2,3
"Divorciado(a) (029)",2,,,,1,1
"Soltero(a) (030)",171,4,138,25,1,3
"Hombres (032)",280,4,141,75,41,19
"Conviviente (033)",90,,39,38,11,2
"Separado(a) (034)",6,,,2,2,2
"Casado(a) (035)",62,,5,19,27,11
"Viudo(a) (036)",5,,,1,1,3
"Soltero(a) (038)",117,4,97,15,,1
"Mujeres (040)",93,,58,20,11,4
"Conviviente (041)",20,,11,6,3,
"Separado(a) (042)",7,,3,3,1,
"Casado(a) (043)",9,,3,1,4,1
"Viudo(a) (044)",1,,,,1,
"Divorciado(a) (045)",2,,,,1,1
"Soltero(a) (046)",54,,41,10,1,2
,,,,,,
"AREA RURAL (048)",492,36,226,139,71,20
"Conviviente (049)",156,,50,70,28,8
"Separado(a) (050)",11,,1,5,4,1
"Casado(a) (051)",84,,10,40,28,6
"Viudo(a) (052)",8,,,1,3,4
"Divorciado(a) (053)",2,,1,,1,
"Soltero(a) (054)",231,36,164,23,7,1
"Hombres (056)",406,21,176,127,64,18
"Conviviente (057)",136,,41,64,24,7
"Separado(a) (058)",8,,,4,3,1
"Casado(a) (059)",76,,7,37,27,5
"Viudo(a) (060)",8,,,1,3,4
"Divorciado(a) (061)",2,,1,,1,
"Soltero(a) (062)",176,21,127,21,6,1
"Mujeres (064)",86,15,50,12,7,2
"Conviviente (065)",20,,9,6,4,1
"Separado(a) (066)",3,,1,1,1,
"Casado(a) (067)",8,,3,3,1,1
"Soltero(a) (070)",55,15,37,2,1,
