"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia VICTOR FAJARDO (000)",23946,1060,2835,3028,2168,3148,3073,5529,3105
"Sabe leer y escribir (001)",18205,,2025,2995,2140,3024,2814,3896,1311
"No sabe leer y escribir (002)",5741,1060,810,33,28,124,259,1633,1794
"Hombres (004)",11544,546,1420,1517,1146,1534,1572,2508,1301
"Sabe leer y escribir (005)",10006,,1004,1502,1137,1498,1536,2340,989
"No sabe leer y escribir (006)",1538,546,416,15,9,36,36,168,312
"Mujeres (008)",12402,514,1415,1511,1022,1614,1501,3021,1804
"Sabe leer y escribir (009)",8199,,1021,1493,1003,1526,1278,1556,322
"No sabe leer y escribir (010)",4203,514,394,18,19,88,223,1465,1482
,,,,,,,,,
"URBANA (012)",17845,745,2032,2349,1698,2378,2426,4067,2150
"Sabe leer y escribir (013)",13968,,1480,2330,1682,2297,2240,2979,960
"No sabe leer y escribir (014)",3877,745,552,19,16,81,186,1088,1190
"Hombres (016)",8670,376,1036,1158,901,1195,1250,1870,884
"Sabe leer y escribir (017)",7633,,743,1149,894,1170,1229,1750,698
"No sabe leer y escribir (018)",1037,376,293,9,7,25,21,120,186
"Mujeres (020)",9175,369,996,1191,797,1183,1176,2197,1266
"Sabe leer y escribir (021)",6335,,737,1181,788,1127,1011,1229,262
"No sabe leer y escribir (022)",2840,369,259,10,9,56,165,968,1004
,,,,,,,,,
"RURAL (024)",6101,315,803,679,470,770,647,1462,955
"Sabe leer y escribir (025)",4237,,545,665,458,727,574,917,351
"No sabe leer y escribir (026)",1864,315,258,14,12,43,73,545,604
"Hombres (028)",2874,170,384,359,245,339,322,638,417
"Sabe leer y escribir (029)",2373,,261,353,243,328,307,590,291
"No sabe leer y escribir (030)",501,170,123,6,2,11,15,48,126
"Mujeres (032)",3227,145,419,320,225,431,325,824,538
"Sabe leer y escribir (033)",1864,,284,312,215,399,267,327,60
"No sabe leer y escribir (034)",1363,145,135,8,10,32,58,497,478
