"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia ZARUMILLA (000)",16194,251,6172,5783,3404,584
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",34,,5,17,12,
"Profes., científicos e intelectuales (002)",813,,155,440,214,4
"Técnicos de nivel medio y trab.asimilados (003)",443,6,155,182,94,6
"Jefes y empleados de oficina (004)",448,,197,158,91,2
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2971,42,1224,1006,605,94
"Agricult.trabaj. calif. agrop. y pesqueros (006)",1812,9,468,568,521,246
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",703,11,229,260,183,20
"Obreros construc., conf., papel, fab., instr. (008)",1848,3,746,713,362,24
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",5682,160,2352,1971,1044,155
"Otra (010)",268,,117,88,63,
"Ocupación no especificada (011)",577,1,210,203,142,21
"Desocupado (012)",595,19,314,177,73,12
"Hombres (013)",11897,181,4480,4167,2570,499
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",20,,2,12,6,
"Profes., científicos e intelectuales (015)",375,,57,197,119,2
"Técnicos de nivel medio y trab.asimilados (016)",327,4,114,133,71,5
"Jefes y empleados de oficina (017)",230,,87,82,60,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",1486,29,587,487,323,60
"Agricult.trabaj. calif. agrop. y pesqueros (019)",1765,9,453,556,508,239
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",603,11,205,217,151,19
"Obreros construc., conf., papel, fab., instr. (021)",1822,3,735,703,357,24
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",4280,114,1821,1445,773,127
"Otra (023)",263,,113,87,63,
"Ocupación no especificada (024)",316,1,110,116,77,12
"Desocupado (025)",410,10,196,132,62,10
"Mujeres (026)",4297,70,1692,1616,834,85
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",14,,3,5,6,
"Profes., científicos e intelectuales (028)",438,,98,243,95,2
"Técnicos de nivel medio y trab.asimilados (029)",116,2,41,49,23,1
"Jefes y empleados de oficina (030)",218,,110,76,31,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",1485,13,637,519,282,34
"Agricult.trabaj. calif. agrop. y pesqueros (032)",47,,15,12,13,7
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",100,,24,43,32,1
