"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia CHINCHEROS (000)",18268,61971,54635,,1045,88.2,1.7
"De 12 a 14 años (001)",2320,9,9,,,100,
"De 15 a 19 años (002)",2466,367,354,113,96.5,30.8,
"De 20 a 24 años (003)",1717,1920,1872,237,97.5,12.3,
"De 25 a 29 años (004)",1613,3346,3240,229,96.8,6.8,
"De 30 a 34 años (005)",1596,4854,4652,204,95.8,4.2,
"De 35 a 39 años (006)",1545,6565,6204,158,94.5,2.4,
"De 40 a 44 años (007)",1298,7145,6537,89,91.5,1.2,
"De 45 a 49 años (008)",1107,7002,6322,15,90.3,0.2,
"De 50 y más años (009)",4606,30763,25445,,82.7,,
"Conviviente (010)",3095,8162,7684,472,94.1,5.8,
"De 12 a 14 años (011)",17,4,4,,100,,
"De 15 a 19 años (012)",303,219,213,76,97.3,34.7,
"De 20 a 24 años (013)",784,1123,1095,149,97.5,13.3,
"De 25 a 29 años (014)",675,1457,1411,107,96.8,7.3,
"De 30 a 34 años (015)",503,1443,1396,81,96.7,5.6,
"De 35 a 39 años (016)",313,1173,1123,38,95.7,3.2,
"De 40 a 44 años (017)",170,837,786,19,93.9,2.3,
"De 45 a 49 años (018)",104,590,535,2,90.7,0.3,
"De 50 y más años (019)",226,1316,1121,,85.2,,
"Separado(a) (020)",663,2110,1894,60,89.8,2.8,
"De 12 a 14 años (021)",1,1,1,,100,,
"De 15 a 19 años (022)",57,56,54,17,96.4,30.4,
"De 20 a 24 años (023)",93,124,120,20,96.8,16.1,
"De 25 a 29 años (024)",86,155,154,12,99.4,7.7,
"De 30 a 34 años (025)",72,177,173,6,97.7,3.4,
"De 35 a 39 años (026)",75,243,222,4,91.4,1.6,
"De 40 a 44 años (027)",68,284,270,1,95.1,0.4,
"De 45 a 49 años (028)",46,236,200,,84.7,,
"De 50 y más años (029)",165,834,700,,83.9,,
"Casado(a) (030)",7347,41710,36878,474,88.4,1.1,
"De 12 a 14 años (031)",3,,,,,,
"De 15 a 19 años (032)",39,40,35,5,87.5,12.5,
"De 20 a 24 años (033)",296,557,542,56,97.3,10.1,
"De 25 a 29 años (034)",580,1588,1531,106,96.4,6.7,
"De 30 a 34 años (035)",851,3047,2901,113,95.2,3.7,
"De 35 a 39 años (036)",1025,4940,4656,115,94.3,2.3,
