"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia JUNIN (000)",12096,11638,3839,1494,1399,1119,1625,1041,653,468,458,32444
"De 12 a 14 años (001)",1154,1149,1144,2,3,,,,,,5,8
"De 15 a 19 años (002)",1576,1553,1435,105,12,1,,,,,23,132
"De 20 a 24 años (003)",1254,1090,534,343,160,45,8,,,,164,832
"De 25 a 29 años (004)",1045,949,240,288,246,105,61,8,1,,96,1411
"De 30 a 34 años (005)",948,880,92,173,244,180,163,21,6,1,68,2107
"De 35 a 39 años (006)",1048,1014,77,159,210,210,242,95,18,3,34,3051
"De 40 a 44 años (007)",971,949,65,119,156,164,250,130,50,15,22,3448
"De 45 a 49 años (008)",859,844,50,89,99,118,227,143,87,31,15,3653
"De 50 y más años (009)",3241,3210,202,216,269,296,674,644,491,418,31,17802
"Conviviente (010)",2601,2551,267,615,568,399,428,176,66,32,50,6865
"De 12 a 14 años (011)",8,6,5,1,,,,,,,2,1
"De 15 a 19 años (012)",178,160,83,68,8,1,,,,,18,87
"De 20 a 24 años (013)",441,429,61,208,120,36,4,,,,12,573
"De 25 a 29 años (014)",489,484,49,165,149,73,41,6,1,,5,903
"De 30 a 34 años (015)",434,429,20,73,122,95,100,14,4,1,5,1172
"De 35 a 39 años (016)",382,380,12,45,77,84,108,46,7,1,2,1278
"De 40 a 44 años (017)",288,285,12,25,45,60,80,45,14,4,3,1089
"De 45 a 49 años (018)",158,158,6,15,24,26,37,30,15,5,,687
"De 50 y más años (019)",223,220,19,15,23,24,58,35,25,21,3,1075
"Separado(a) (020)",529,519,17,160,121,75,86,35,18,7,10,1468
"De 12 a 14 años (021)",1,,,,,,,,,,1,
"De 15 a 19 años (022)",10,8,1,7,,,,,,,2,7
"De 20 a 24 años (023)",43,40,2,28,10,,,,,,3,48
