"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia BOLIVAR (000)",5331,5191,1528,476,555,501,787,616,405,323,140,17586
"De 12 a 14 años (001)",702,699,697,2,,,,,,,3,2
"De 15 a 19 años (002)",745,730,612,98,15,5,,,,,15,143
"De 20 a 24 años (003)",506,466,100,155,128,59,22,2,,,40,693
"De 25 a 29 años (004)",504,479,34,83,149,113,88,9,3,,25,1184
"De 30 a 34 años (005)",479,466,22,52,93,97,127,66,8,1,13,1579
"De 35 a 39 años (006)",477,473,10,25,61,82,145,105,34,11,4,2103
"De 40 a 44 años (007)",437,428,13,13,30,41,127,111,57,36,9,2334
"De 45 a 49 años (008)",357,350,5,20,21,33,78,85,70,38,7,2069
"De 50 y más años (009)",1124,1100,35,28,58,71,200,238,233,237,24,7479
"Conviviente (010)",1937,1899,90,271,329,272,403,267,153,114,38,7785
"De 12 a 14 años (011)",10,7,6,1,,,,,,,3,1
"De 15 a 19 años (012)",116,105,31,58,12,4,,,,,11,94
"De 20 a 24 años (013)",297,288,17,105,98,48,19,1,,,9,531
"De 25 a 29 años (014)",313,308,9,51,94,77,66,9,2,,5,831
"De 30 a 34 años (015)",283,283,7,24,59,54,83,51,4,1,,1033
"De 35 a 39 años (016)",264,263,3,10,29,46,79,63,27,6,1,1243
"De 40 a 44 años (017)",214,214,5,6,9,18,68,54,31,23,,1233
"De 45 a 49 años (018)",154,150,3,8,5,15,35,35,33,16,4,901
"De 50 y más años (019)",286,281,9,8,23,10,53,54,56,68,5,1918
"Separado(a) (020)",225,219,3,48,33,33,36,31,23,12,6,900
"De 15 a 19 años (022)",17,15,,14,1,,,,,,2,16
"De 20 a 24 años (023)",28,27,,14,8,5,,,,,1,45
"De 25 a 29 años (024)",29,29,,11,8,8,2,,,,,59
