"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia LORETO (000)",11162,59590,4529,24202,6633,35388
"Casa independiente (001)",8672,46133,4408,23774,4264,22359
"Departamento en edificio (002)",3,8,3,8,,
"Vivienda en quinta (003)",81,268,81,268,,
"Vivienda en casa de vecindad (004)",5,29,5,29,,
"Choza o cabaña (005)",2364,12997,,,2364,12997
"Vivienda improvisada (006)",24,101,24,101,,
"Local no dest.para hab. humana (007)",8,43,4,14,4,29
"Otro tipo (008)",5,11,4,8,1,3
