"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia CONDESUYOS (000)",18991,18710,208,73
"Hombres (001)",10539,10446,69,24
"Mujeres (002)",8452,8264,139,49
"Menores de 1 año (003)",318,251,52,15
"Hombres (004)",159,133,24,2
"Mujeres (005)",159,118,28,13
"De 1 a 5 años (006)",1830,1712,65,53
"Hombres (007)",922,871,29,22
"Mujeres (008)",908,841,36,31
"De 6 a 14 años (009)",3285,3282,3,
"Hombres (010)",1650,1648,2,
"Mujeres (011)",1635,1634,1,
"De 15 a 29 años (012)",4773,4772,1,
"Hombres (013)",2820,2819,1,
"Mujeres (014)",1953,1953,,
"De 30 a 44 años (015)",4225,4219,6,
"Hombres (016)",2607,2602,5,
"Mujeres (017)",1618,1617,1,
"De 45 a 64 años (018)",2997,2988,7,2
"Hombres (019)",1681,1681,,
"Mujeres (020)",1316,1307,7,2
"De 65 a más años (021)",1563,1486,74,3
"Hombres (022)",700,692,8,
"Mujeres (023)",863,794,66,3
,,,,
"URBANA (024)",7764,7671,72,21
"Hombres (025)",3979,3949,27,3
"Mujeres (026)",3785,3722,45,18
"Menores de 1 año (027)",125,102,18,5
"Hombres (028)",67,57,10,
"Mujeres (029)",58,45,8,5
"De 1 a 5 años (030)",729,685,28,16
"Hombres (031)",379,364,12,3
"Mujeres (032)",350,321,16,13
"De 6 a 14 años (033)",1527,1526,1,
"Hombres (034)",764,763,1,
"Mujeres (035)",763,763,,
"De 15 a 29 años (036)",1891,1891,,
"Hombres (037)",990,990,,
"Mujeres (038)",901,901,,
"De 30 a 44 años (039)",1625,1624,1,
"Hombres (040)",822,822,,
"Mujeres (041)",803,802,1,
"De 45 a 64 años (042)",1287,1286,1,
"Hombres (043)",718,718,,
"Mujeres (044)",569,568,1,
"De 65 a más años (045)",580,557,23,
"Hombres (046)",239,235,4,
"Mujeres (047)",341,322,19,
,,,,
"RURAL (048)",11227,11039,136,52
"Hombres (049)",6560,6497,42,21
"Mujeres (050)",4667,4542,94,31
"Menores de 1 año (051)",193,149,34,10
"Hombres (052)",92,76,14,2
"Mujeres (053)",101,73,20,8
"De 1 a 5 años (054)",1101,1027,37,37
"Hombres (055)",543,507,17,19
"Mujeres (056)",558,520,20,18
"De 6 a 14 años (057)",1758,1756,2,
"Hombres (058)",886,885,1,
"Mujeres (059)",872,871,1,
"De 15 a 29 años (060)",2882,2881,1,
"Hombres (061)",1830,1829,1,
"Mujeres (062)",1052,1052,,
"De 30 a 44 años (063)",2600,2595,5,
"Hombres (064)",1785,1780,5,
"Mujeres (065)",815,815,,
"De 45 a 64 años (066)",1710,1702,6,2
"Hombres (067)",963,963,,
"Mujeres (068)",747,739,6,2
"De 65 a más años (069)",983,929,51,3
"Hombres (070)",461,457,4,
"Mujeres (071)",522,472,47,3
