"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia BARRANCA (000)",50480,426,16351,18347,13189,2167
"Agric., ganadería, caza y silvicultura (001)",12642,147,4416,4184,3183,712
"Pesca (002)",807,3,208,317,244,35
"Explotación de minas y canteras (003)",111,,44,43,23,1
"Industrias manufactureras (004)",4198,17,1388,1384,1273,136
"Suministro de electricidad, gas y agua (005)",124,1,32,49,38,4
"Construcción (006)",2765,13,897,1038,703,114
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",10819,144,2940,3853,3211,671
"Venta, mant.y rep. veh.autom.y motoc. (008)",1179,10,430,390,305,44
"Comercio al por mayor (009)",553,2,195,217,123,16
"Comercio al por menor (010)",9087,132,2315,3246,2783,611
"Hoteles y restaurantes (011)",2800,35,913,898,828,126
"Trans., almac. y comunicaciones (012)",5110,25,2005,1927,1036,117
"Intermediación financiera (013)",233,,111,93,28,1
"Activid.inmobil., empres. y alquileres (014)",2276,3,828,927,465,53
"Admin.pub. y defensa; p. segur.soc.afil (015)",1308,,315,579,388,26
"Enseñanza (016)",2650,,536,1350,743,21
"Servicios sociales y de salud (017)",693,,175,358,146,14
"Otras activ. serv.comun.soc y personales (018)",1985,22,743,706,451,63
"Hogares privados con servicio doméstico (019)",1150,16,540,358,219,17
"Actividad economica no especificada (021)",809,,260,283,210,56
"Hombres (022)",33833,282,11106,11904,8957,1584
"Agric., ganadería, caza y silvicultura (023)",10109,109,3537,3285,2565,613
"Pesca (024)",791,3,201,310,242,35
"Explotación de minas y canteras (025)",101,,41,37,22,1
"Industrias manufactureras (026)",3356,16,1114,1074,1030,122
"Suministro de electricidad, gas y agua (027)",100,1,24,37,34,4
"Construcción (028)",2732,13,882,1023,700,114
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",5397,84,1560,1785,1602,366
"Venta, mant.y rep. veh.autom.y motoc. (030)",1096,9,391,360,292,44
"Comercio al por mayor (031)",353,2,137,133,71,10
"Comercio al por menor (032)",3948,73,1032,1292,1239,312
"Hoteles y restaurantes (033)",870,13,329,246,235,47
"Trans., almac. y comunicaciones (034)",4769,22,1817,1824,990,116
"Intermediación financiera (035)",147,,58,66,22,1
"Activid.inmobil., empres. y alquileres (036)",1706,1,564,701,395,45
"Admin.pub. y defensa; p. segur.soc.afil (037)",857,,168,371,296,22
"Enseñanza (038)",1019,,151,500,357,11
