"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia PISCO (000)",118084,5070,11508,13210,12474,22565,18859,27177,7221
"Sabe leer y escribir (001)",107973,,9449,13117,12389,22358,18608,26036,6016
"No sabe leer y escribir (002)",10111,5070,2059,93,85,207,251,1141,1205
"Hombres (004)",60165,2597,5931,6831,6504,11506,9287,13759,3750
"Sabe leer y escribir (005)",55671,,4832,6770,6460,11416,9218,13522,3453
"No sabe leer y escribir (006)",4494,2597,1099,61,44,90,69,237,297
"Mujeres (008)",57919,2473,5577,6379,5970,11059,9572,13418,3471
"Sabe leer y escribir (009)",52302,,4617,6347,5929,10942,9390,12514,2563
"No sabe leer y escribir (010)",5617,2473,960,32,41,117,182,904,908
,,,,,,,,,
"URBANA (012)",103466,4424,10098,11521,10834,19733,16653,24108,6095
"Sabe leer y escribir (013)",95038,,8329,11441,10765,19565,16455,23256,5227
"No sabe leer y escribir (014)",8428,4424,1769,80,69,168,198,852,868
"Hombres (016)",52328,2269,5202,5958,5552,9987,8131,12089,3140
"Sabe leer y escribir (017)",48516,,4264,5905,5515,9910,8074,11917,2931
"No sabe leer y escribir (018)",3812,2269,938,53,37,77,57,172,209
"Mujeres (020)",51138,2155,4896,5563,5282,9746,8522,12019,2955
"Sabe leer y escribir (021)",46522,,4065,5536,5250,9655,8381,11339,2296
"No sabe leer y escribir (022)",4616,2155,831,27,32,91,141,680,659
,,,,,,,,,
"RURAL (024)",14618,646,1410,1689,1640,2832,2206,3069,1126
"Sabe leer y escribir (025)",12935,,1120,1676,1624,2793,2153,2780,789
"No sabe leer y escribir (026)",1683,646,290,13,16,39,53,289,337
"Hombres (028)",7837,328,729,873,952,1519,1156,1670,610
"Sabe leer y escribir (029)",7155,,568,865,945,1506,1144,1605,522
"No sabe leer y escribir (030)",682,328,161,8,7,13,12,65,88
"Mujeres (032)",6781,318,681,816,688,1313,1050,1399,516
"Sabe leer y escribir (033)",5780,,552,811,679,1287,1009,1175,267
"No sabe leer y escribir (034)",1001,318,129,5,9,26,41,224,249
