"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia LIMA (000)",6101271,666742,1212640,1369588,1063696,774900,1013705
"Conviviente (001)",1308977,11716,222654,495609,325731,155570,97697
"Separado(a) (002)",232528,1258,16712,51397,61464,51633,50064
"Casado(a) (003)",1781670,2043,37657,282590,455116,426702,577562
"Viudo(a) (004)",207705,138,819,3457,9952,22019,171320
"Divorciado(a) (005)",50107,,1071,4224,10849,14593,19370
"Soltero(a) (006)",2520284,651587,933727,532311,200584,104383,97692
"Hombres (008)",2944954,331885,595663,665362,509256,365025,477763
"Conviviente (009)",642377,5386,82833,240306,170581,85732,57539
"Separado(a) (010)",73944,456,3996,14987,19758,16982,17765
"Casado(a) (011)",866788,1064,12533,118808,211798,205276,317309
"Viudo(a) (012)",47672,52,273,879,2213,4396,39859
"Divorciado(a) (013)",19582,,492,1600,4164,5668,7658
"Soltero(a) (014)",1294591,324927,495536,288782,100742,46971,37633
"Mujeres (016)",3156317,334857,616977,704226,554440,409875,535942
"Conviviente (017)",666600,6330,139821,255303,155150,69838,40158
"Separado(a) (018)",158584,802,12716,36410,41706,34651,32299
"Casado(a) (019)",914882,979,25124,163782,243318,221426,260253
"Viudo(a) (020)",160033,86,546,2578,7739,17623,131461
"Divorciado(a) (021)",30525,,579,2624,6685,8925,11712
"Soltero(a) (022)",1225693,326660,438191,243529,99842,57412,60059
,,,,,,,
"URBANA (024)",6093906,665741,1211123,1367919,1062433,774136,1012554
"Conviviente (025)",1306479,11692,222169,494663,325135,155306,97514
"Separado(a) (026)",232296,1258,16689,51342,61401,51602,50004
"Casado(a) (027)",1779844,2040,37603,282296,454678,426322,576905
"Viudo(a) (028)",207513,138,817,3455,9945,21995,171163
"Divorciado(a) (029)",50081,,1071,4222,10842,14590,19356
"Soltero(a) (030)",2517693,650613,932774,531941,200432,104321,97612
"Hombres (032)",2941014,331381,594854,664470,508557,364623,477129
"Conviviente (033)",641082,5375,82654,239808,170238,85582,57425
"Separado(a) (034)",73854,456,3992,14970,19731,16972,17733
"Casado(a) (035)",865839,1062,12516,118675,211579,205079,316928
"Viudo(a) (036)",47613,52,271,877,2210,4389,39814
"Divorciado(a) (037)",19564,,492,1598,4159,5666,7649
"Soltero(a) (038)",1293062,324436,494929,288542,100640,46935,37580
"Mujeres (040)",3152892,334360,616269,703449,553876,409513,535425
"Conviviente (041)",665397,6317,139515,254855,154897,69724,40089
"Separado(a) (042)",158442,802,12697,36372,41670,34630,32271
"Casado(a) (043)",914005,978,25087,163621,243099,221243,259977
"Viudo(a) (044)",159900,86,546,2578,7735,17606,131349
"Divorciado(a) (045)",30517,,579,2624,6683,8924,11707
"Soltero(a) (046)",1224631,326177,437845,243399,99792,57386,60032
,,,,,,,
"RURAL (048)",7365,1001,1517,1669,1263,764,1151
"Conviviente (049)",2498,24,485,946,596,264,183
"Separado(a) (050)",232,,23,55,63,31,60
"Casado(a) (051)",1826,3,54,294,438,380,657
"Viudo(a) (052)",192,,2,2,7,24,157
"Divorciado(a) (053)",26,,,2,7,3,14
"Soltero(a) (054)",2591,974,953,370,152,62,80
"Hombres (056)",3940,504,809,892,699,402,634
"Conviviente (057)",1295,11,179,498,343,150,114
"Separado(a) (058)",90,,4,17,27,10,32
"Casado(a) (059)",949,2,17,133,219,197,381
"Viudo(a) (060)",59,,2,2,3,7,45
"Divorciado(a) (061)",18,,,2,5,2,9
"Soltero(a) (062)",1529,491,607,240,102,36,53
"Mujeres (064)",3425,497,708,777,564,362,517
"Conviviente (065)",1203,13,306,448,253,114,69
"Separado(a) (066)",142,,19,38,36,21,28
"Casado(a) (067)",877,1,37,161,219,183,276
"Viudo(a) (068)",133,,,,4,17,112
"Divorciado(a) (069)",8,,,,2,1,5
"Soltero(a) (070)",1062,483,346,130,50,26,27
