"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia MOYOBAMBA (000)",41625,34662,2690,1903,2370
"Agric., ganadería, caza y silvicultura (001)",22629,21572,910,114,33
"Pesca (002)",21,5,14,2,
"Explotación de minas y canteras (003)",14,4,5,,5
"Industrias manufactureras (004)",1341,1142,132,50,17
"Suministro de electricidad, gas y agua (005)",91,13,5,45,28
"Construcción (006)",1425,989,247,141,48
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",4665,4252,319,89,5
"Venta, mant.y rep. veh.autom y motoc. (008)",507,446,54,7,
"Comercio al por mayor (009)",244,202,19,18,5
"Comercio al por menor (010)",3914,3604,246,64,
"Hoteles y restaurantes (011)",1285,1142,100,31,12
"Trans., almac. y comunicaciones (012)",2187,1803,174,111,99
"Intermediación financiera (013)",122,11,26,66,19
"Activid.inmobil., empres. y alquileres (014)",801,403,126,137,135
"Admin.pub. y defensa; p. segur soc.afil (015)",1101,,,,1101
"Enseñanza (016)",2299,556,401,913,429
"Servicios sociales y de salud (017)",516,125,27,33,331
"Otras activ. serv.comun.soc y personales (018)",548,357,87,77,27
"Hogares privados con servicio doméstico (019)",1321,1321,,,
"Actividad economica no especificada (021)",1259,967,117,94,81
"Hombres (022)",30652,25959,2019,1174,1500
"Agric., ganadería, caza y silvicultura (023)",19960,19038,794,101,27
"Pesca (024)",17,4,11,2,
"Explotación de minas y canteras (025)",11,3,4,,4
"Industrias manufactureras (026)",988,826,111,37,14
"Suministro de electricidad, gas y agua (027)",83,11,5,39,28
"Construcción (028)",1374,965,242,128,39
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",2405,2131,212,59,3
"Venta, mant.y rep. veh.autom y motoc. (030)",460,406,48,6,
"Comercio al por mayor (031)",156,127,15,11,3
"Comercio al por menor (032)",1789,1598,149,42,
"Hoteles y restaurantes (033)",266,211,36,16,3
"Trans., almac. y comunicaciones (034)",2021,1668,163,101,89
"Intermediación financiera (035)",71,9,15,33,14
"Activid.inmobil., empres. y alquileres (036)",579,285,99,93,102
"Admin.pub. y defensa; p. segur soc.afil (037)",727,,,,727
"Enseñanza (038)",1140,232,202,459,247
"Servicios sociales y de salud (039)",239,72,10,14,143
"Otras activ. serv.comun.soc y personales (040)",290,166,59,43,22
