"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia LA MAR (000)",56818,10336,11082,11770,9469,6071,8090
"Conviviente (001)",13861,334,3996,5648,2629,811,443
"Separado(a) (002)",1459,25,283,350,393,211,197
"Casado(a) (003)",18816,18,560,3673,5586,4209,4770
"Viudo(a) (004)",3300,2,23,88,286,543,2358
"Divorciado(a) (005)",206,,6,25,60,63,52
"Soltero(a) (006)",19176,9957,6214,1986,515,234,270
"Hombres (008)",29421,5456,5956,6269,4830,3033,3877
"Conviviente (009)",6935,94,1491,3128,1529,435,258
"Separado(a) (010)",415,4,33,79,118,81,100
"Casado(a) (011)",9540,6,150,1658,2759,2236,2731
"Viudo(a) (012)",866,,7,27,70,118,644
"Divorciado(a) (013)",107,,1,10,27,38,31
"Soltero(a) (014)",11558,5352,4274,1367,327,125,113
"Mujeres (016)",27397,4880,5126,5501,4639,3038,4213
"Conviviente (017)",6926,240,2505,2520,1100,376,185
"Separado(a) (018)",1044,21,250,271,275,130,97
"Casado(a) (019)",9276,12,410,2015,2827,1973,2039
"Viudo(a) (020)",2434,2,16,61,216,425,1714
"Divorciado(a) (021)",99,,5,15,33,25,21
"Soltero(a) (022)",7618,4605,1940,619,188,109,157
,,,,,,,
"URBANA (024)",24056,4499,4796,5288,4184,2574,2715
"Conviviente (025)",6454,136,1646,2726,1351,407,188
"Separado(a) (026)",709,8,127,186,206,101,81
"Casado(a) (027)",7066,9,171,1342,2229,1722,1593
"Viudo(a) (028)",1137,1,13,34,137,210,742
"Divorciado(a) (029)",102,,4,15,27,33,23
"Soltero(a) (030)",8588,4345,2835,985,234,101,88
"Hombres (032)",12355,2357,2537,2715,2126,1330,1290
"Conviviente (033)",3185,44,580,1436,780,239,106
"Separado(a) (034)",181,1,12,36,59,38,35
"Casado(a) (035)",3613,4,50,583,1104,941,931
"Viudo(a) (036)",261,,3,13,31,42,172
"Divorciado(a) (037)",48,,,4,12,19,13
"Soltero(a) (038)",5067,2308,1892,643,140,51,33
"Mujeres (040)",11701,2142,2259,2573,2058,1244,1425
"Conviviente (041)",3269,92,1066,1290,571,168,82
"Separado(a) (042)",528,7,115,150,147,63,46
"Casado(a) (043)",3453,5,121,759,1125,781,662
"Viudo(a) (044)",876,1,10,21,106,168,570
"Divorciado(a) (045)",54,,4,11,15,14,10
"Soltero(a) (046)",3521,2037,943,342,94,50,55
,,,,,,,
"RURAL (048)",32762,5837,6286,6482,5285,3497,5375
"Conviviente (049)",7407,198,2350,2922,1278,404,255
"Separado(a) (050)",750,17,156,164,187,110,116
"Casado(a) (051)",11750,9,389,2331,3357,2487,3177
"Viudo(a) (052)",2163,1,10,54,149,333,1616
"Divorciado(a) (053)",104,,2,10,33,30,29
"Soltero(a) (054)",10588,5612,3379,1001,281,133,182
"Hombres (056)",17066,3099,3419,3554,2704,1703,2587
"Conviviente (057)",3750,50,911,1692,749,196,152
"Separado(a) (058)",234,3,21,43,59,43,65
"Casado(a) (059)",5927,2,100,1075,1655,1295,1800
"Viudo(a) (060)",605,,4,14,39,76,472
"Divorciado(a) (061)",59,,1,6,15,19,18
"Soltero(a) (062)",6491,3044,2382,724,187,74,80
"Mujeres (064)",15696,2738,2867,2928,2581,1794,2788
"Conviviente (065)",3657,148,1439,1230,529,208,103
"Separado(a) (066)",516,14,135,121,128,67,51
"Casado(a) (067)",5823,7,289,1256,1702,1192,1377
"Viudo(a) (068)",1558,1,6,40,110,257,1144
"Divorciado(a) (069)",45,,1,4,18,11,11
"Soltero(a) (070)",4097,2568,997,277,94,59,102
