"CUADRO Nº 17: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia BAGUA (000)",24239,3756,4822,10690,613,3856,502
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",55,55,,,,,
"Profes., científicos e intelectuales (002)",1896,1666,,214,12,4,
"Técnicos de nivel medio y trab. asimilados (003)",463,323,,110,24,5,1
"Jefes y empleados de oficina (004)",502,497,,4,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1989,364,12,1257,56,300,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",7516,3,1,7052,460,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",728,,190,497,21,20,
"Obreros construc.,conf.,papel, fab., instr. (008)",1404,197,385,776,22,24,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",8860,453,4035,570,7,3294,501
"Otra (010)",75,75,,,,,
"Ocupación no especificada (011)",751,123,199,210,11,208,
"Hombres (012)",17619,2035,4320,8549,500,2194,21
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",40,40,,,,,
"Profes., científicos e intelectuales (014)",998,848,,138,8,4,
"Técnicos de nivel medio y trab. asimilados (015)",295,187,,87,19,2,
"Jefes y empleados de oficina (016)",233,230,,2,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",941,186,6,648,29,72,
"Agricult.trabaj.calif.agrop.y pesqueros (018)",6572,3,1,6174,394,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",627,,177,415,19,16,
"Obreros construc.,conf.,papel, fab., instr. (020)",1381,192,378,766,21,24,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",6159,222,3618,254,4,2040,21
"Otra (022)",70,70,,,,,
"Ocupación no especificada (023)",303,57,140,65,6,35,
"Mujeres (024)",6620,1721,502,2141,113,1662,481
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",15,15,,,,,
"Profes., científicos e intelectuales (026)",898,818,,76,4,,
"Técnicos de nivel medio y trab. asimilados (027)",168,136,,23,5,3,1
"Jefes y empleados de oficina (028)",269,267,,2,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1048,178,6,609,27,228,
"Agricult.trabaj.calif.agrop.y pesqueros (030)",944,,,878,66,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",101,,13,82,2,4,
"Obreros construc.,conf.,papel, fab., instr. (032)",23,5,7,10,1,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",2701,231,417,316,3,1254,480
"Otra (034)",5,5,,,,,
"Ocupación no especificada (035)",448,66,59,145,5,173,
,,,,,,,
"URBANA (036)",12143,3299,1952,5154,326,1012,400
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",41,41,,,,,
"Profes., científicos e intelectuales (038)",1569,1353,,200,12,4,
"Técnicos de nivel medio y trab. asimilados (039)",412,280,,105,22,5,
"Jefes y empleados de oficina (040)",474,469,,4,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",1846,347,8,1155,55,281,
"Agricult.trabaj.calif.agrop.y pesqueros (042)",2049,1,1,1870,177,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (043)",642,,165,438,21,18,
"Obreros construc.,conf.,papel, fab., instr. (044)",1269,192,325,712,22,18,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (045)",3277,425,1283,543,7,619,400
"Otra (046)",73,73,,,,,
"Ocupación no especificada (047)",491,118,170,127,10,66,
"Hombres (048)",8248,1747,1761,3889,270,565,16
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",30,30,,,,,
"Profes., científicos e intelectuales (050)",797,653,,132,8,4,
"Técnicos de nivel medio y trab. asimilados (051)",260,157,,84,17,2,
"Jefes y empleados de oficina (052)",214,211,,2,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",867,178,5,589,28,67,
"Agricult.trabaj.calif.agrop.y pesqueros (054)",1896,1,1,1726,168,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (055)",548,,153,361,19,15,
"Obreros construc.,conf.,papel, fab., instr. (056)",1246,187,318,702,21,18,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (057)",2047,205,1152,239,4,431,16
"Otra (058)",68,68,,,,,
"Ocupación no especificada (059)",275,57,132,54,5,27,
"Mujeres (060)",3895,1552,191,1265,56,447,384
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",11,11,,,,,
"Profes., científicos e intelectuales (062)",772,700,,68,4,,
"Técnicos de nivel medio y trab. asimilados (063)",152,123,,21,5,3,
"Jefes y empleados de oficina (064)",260,258,,2,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",979,169,3,566,27,214,
"Agricult.trabaj.calif.agrop.y pesqueros (066)",153,,,144,9,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (067)",94,,12,77,2,3,
"Obreros construc.,conf.,papel, fab., instr. (068)",23,5,7,10,1,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (069)",1230,220,131,304,3,188,384
"Otra (070)",5,5,,,,,
"Ocupación no especificada (071)",216,61,38,73,5,39,
,,,,,,,
"RURAL (072)",12096,457,2870,5536,287,2844,102
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",14,14,,,,,
"Profes., científicos e intelectuales (074)",327,313,,14,,,
"Técnicos de nivel medio y trab. asimilados (075)",51,43,,5,2,,1
"Jefes y empleados de oficina (076)",28,28,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",143,17,4,102,1,19,
"Agricult.trabaj.calif.agrop.y pesqueros (078)",5467,2,,5182,283,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (079)",86,,25,59,,2,
"Obreros construc.,conf.,papel, fab., instr. (080)",135,5,60,64,,6,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (081)",5583,28,2752,27,,2675,101
"Otra (082)",2,2,,,,,
"Ocupación no especificada (083)",260,5,29,83,1,142,
"Hombres (084)",9371,288,2559,4660,230,1629,5
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",10,10,,,,,
"Profes., científicos e intelectuales (086)",201,195,,6,,,
"Técnicos de nivel medio y trab. asimilados (087)",35,30,,3,2,,
"Jefes y empleados de oficina (088)",19,19,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",74,8,1,59,1,5,
"Agricult.trabaj.calif.agrop.y pesqueros (090)",4676,2,,4448,226,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (091)",79,,24,54,,1,
"Obreros construc.,conf.,papel, fab., instr. (092)",135,5,60,64,,6,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (093)",4112,17,2466,15,,1609,5
"Otra (094)",2,2,,,,,
"Ocupación no especificada (095)",28,,8,11,1,8,
"Mujeres (096)",2725,169,311,876,57,1215,97
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (097)",4,4,,,,,
