"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUANUCO (000)",73617,41332,32285
"Casa independiente (001)",65813,36609,29204
"Departamento en edificio (002)",2102,2102,
"Vivienda en quinta (003)",1098,1098,
"Vivienda en casa de vecindad (004)",1415,1415,
"Choza o cabaña (005)",3074,,3074
"Vivienda improvisada (006)",51,51,
"Local no dest.para hab. humana (007)",61,55,6
"Otro tipo (008)",3,2,1
