"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia PALPA (000)",3751,44,110,272,477,811,1076,961
"De 12 a 14 años (001)",4,,,,,,1,3
"De 15 a 19 años (002)",103,,,,,,57,46
"De 20 a 24 años (003)",403,,,,,4,199,200
"De 25 a 29 años (004)",452,,,,,24,265,163
"De 30 a 34 años (005)",435,,,,,92,229,114
"De 35 a 39 años (006)",417,,,,4,172,175,66
"De 40 a 44 años (007)",408,,,,34,202,116,56
"De 45 a 49 años (008)",346,,,2,78,157,31,78
"De 50 y más años (009)",1183,44,110,270,361,160,3,235
"Sin nivel (010)",342,20,27,64,80,55,17,79
"De 20 a 24 años (013)",6,,,,,,,6
"De 25 a 29 años (014)",6,,,,,,3,3
"De 30 a 34 años (015)",4,,,,,1,2,1
"De 35 a 39 años (016)",10,,,,,4,5,1
"De 40 a 44 años (017)",18,,,,,9,4,5
"De 45 a 49 años (018)",22,,,,3,14,3,2
"De 50 y más años (019)",276,20,27,64,77,27,,61
"Primaria (030)",960,18,67,139,188,216,165,167
"De 12 a 14 años (031)",2,,,,,,1,1
"De 15 a 19 años (032)",15,,,,,,8,7
"De 20 a 24 años (033)",33,,,,,,21,12
"De 25 a 29 años (034)",33,,,,,2,23,8
"De 30 a 34 años (035)",61,,,,,15,32,14
"De 35 a 39 años (036)",72,,,,1,37,26,8
"De 40 a 44 años (037)",101,,,,10,46,35,10
"De 45 a 49 años (038)",102,,,,20,46,18,18
"De 50 y más años (039)",541,18,67,139,157,70,1,89
"Secundaria (040)",1422,6,14,52,143,334,539,334
"De 12 a 14 años (041)",2,,,,,,,2
"De 15 a 19 años (042)",75,,,,,,43,32
"De 20 a 24 años (043)",201,,,,,3,120,78
"De 25 a 29 años (044)",214,,,,,14,140,60
"De 30 a 34 años (045)",205,,,,,50,116,39
"De 35 a 39 años (046)",183,,,,2,78,74,29
"De 40 a 44 años (047)",170,,,,19,93,42,16
"De 45 a 49 años (048)",135,,,1,40,59,4,31
"De 50 y más años (049)",237,6,14,51,82,37,,47
"Sup. no Univ. incompleta (050)",244,,,1,14,49,92,88
"De 15 a 19 años (052)",9,,,,,,3,6
"De 20 a 24 años (053)",51,,,,,,25,26
"De 25 a 29 años (054)",61,,,,,4,29,28
"De 30 a 34 años (055)",30,,,,,7,14,9
"De 35 a 39 años (056)",35,,,,,14,16,5
"De 40 a 44 años (057)",25,,,,,13,4,8
"De 45 a 49 años (058)",10,,,,3,6,1,
"De 50 y más años (059)",23,,,1,11,5,,6
"Sup. no Univ. completa (060)",438,,,7,21,87,162,161
