"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CARAVELI (000)",33910,1401,3094,3484,3140,7238,5958,7443,2152
"Sabe leer y escribir (001)",30639,,2447,3462,3123,7175,5856,6984,1592
"No sabe leer y escribir (002)",3271,1401,647,22,17,63,102,459,560
"Hombres (004)",19290,705,1644,1792,1728,4311,3488,4444,1178
"Sabe leer y escribir (005)",17892,,1300,1782,1720,4285,3459,4331,1015
"No sabe leer y escribir (006)",1398,705,344,10,8,26,29,113,163
"Mujeres (008)",14620,696,1450,1692,1412,2927,2470,2999,974
"Sabe leer y escribir (009)",12747,,1147,1680,1403,2890,2397,2653,577
"No sabe leer y escribir (010)",1873,696,303,12,9,37,73,346,397
,,,,,,,,,
"URBANA (012)",21838,954,2158,2584,1999,3913,3800,4988,1442
"Sabe leer y escribir (013)",19833,,1746,2565,1992,3889,3749,4756,1136
"No sabe leer y escribir (014)",2005,954,412,19,7,24,51,232,306
"Hombres (016)",11556,475,1154,1318,1014,2026,1983,2823,763
"Sabe leer y escribir (017)",10695,,933,1308,1011,2014,1973,2774,682
"No sabe leer y escribir (018)",861,475,221,10,3,12,10,49,81
"Mujeres (020)",10282,479,1004,1266,985,1887,1817,2165,679
"Sabe leer y escribir (021)",9138,,813,1257,981,1875,1776,1982,454
"No sabe leer y escribir (022)",1144,479,191,9,4,12,41,183,225
,,,,,,,,,
"RURAL (024)",12072,447,936,900,1141,3325,2158,2455,710
"Sabe leer y escribir (025)",10806,,701,897,1131,3286,2107,2228,456
"No sabe leer y escribir (026)",1266,447,235,3,10,39,51,227,254
"Hombres (028)",7734,230,490,474,714,2285,1505,1621,415
"Sabe leer y escribir (029)",7197,,367,474,709,2271,1486,1557,333
"No sabe leer y escribir (030)",537,230,123,,5,14,19,64,82
"Mujeres (032)",4338,217,446,426,427,1040,653,834,295
"Sabe leer y escribir (033)",3609,,334,423,422,1015,621,671,123
"No sabe leer y escribir (034)",729,217,112,3,5,25,32,163,172
