"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CHUMBIVILCAS (000)",23119,20185,1579,652,703
"Sin nivel (001)",4627,4415,180,15,17
"Educación inicial (002)",46,44,1,,1
"Primaria (003)",11069,10246,639,77,107
"Secundaria (004)",5347,4618,440,128,161
"Superior no univ. incompleta (005)",347,240,40,30,37
"Superior no univ. completa (006)",833,342,138,177,176
"Superior univ. incompleta (007)",165,93,14,24,34
"Superior univ. completa (008)",685,187,127,201,170
"De 06 a 14 años (010)",568,539,27,2,
"Sin nivel (011)",42,42,,,
"Educación inicial (012)",16,16,,,
"Primaria (013)",405,385,19,1,
"Secundaria (014)",105,96,8,1,
"De 15 a 29 años (020)",5959,5150,442,176,191
"Sin nivel (021)",197,186,6,1,4
"Educación inicial (022)",16,16,,,
"Primaria (023)",2319,2163,125,16,15
"Secundaria (024)",2843,2487,233,60,63
"Superior no univ. incompleta (025)",142,111,12,8,11
"Superior no univ. completa (026)",236,110,37,41,48
"Superior univ. incompleta (027)",59,33,3,10,13
"Superior univ. completa (028)",147,44,26,40,37
"De 30 a 44 años (030)",7820,6493,619,336,372
"Sin nivel (031)",1033,964,58,5,6
"Educación inicial (032)",14,12,1,,1
"Primaria (033)",3972,3656,233,32,51
"Secundaria (034)",1719,1457,144,50,68
"Superior no univ. incompleta (035)",159,102,20,15,22
"Superior no univ. completa (036)",461,165,80,106,110
"Superior univ. incompleta (037)",73,47,5,7,14
"Superior univ. completa (038)",389,90,78,121,100
"De 45 a 64 años (040)",6539,5868,409,131,131
"Sin nivel (041)",2095,2001,81,8,5
"Primaria (043)",3485,3205,220,24,36
"Secundaria (044)",612,515,51,16,30
"Superior no univ. incompleta (045)",44,27,7,7,3
"Superior no univ. completa (046)",126,58,21,30,17
"Superior univ. incompleta (047)",33,13,6,7,7
"Superior univ. completa (048)",144,49,23,39,33
"De 65 y más años (050)",2233,2135,82,7,9
"Sin nivel (051)",1260,1222,35,1,2
"Primaria (053)",888,837,42,4,5
"Secundaria (054)",68,63,4,1,
"Superior no univ. incompleta (055)",2,,1,,1
"Superior no univ. completa (056)",10,9,,,1
"Superior univ. completa (058)",5,4,,1,
,,,,,
"URBANA (060)",5769,4263,564,459,483
