"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CANGALLO (000)",413,5,192,134,59,23
"Conviviente (001)",101,,62,35,4,
"Separado(a) (002)",8,,2,3,3,
"Casado(a) (003)",168,,21,78,48,21
"Viudo(a) (004)",3,,,,1,2
"Divorciado(a) (005)",2,,,,2,
"Soltero(a) (006)",131,5,107,18,1,
"Hombres (008)",349,3,149,120,54,23
"Conviviente (009)",89,,52,33,4,
"Separado(a) (010)",4,,1,2,1,
"Casado(a) (011)",156,,17,72,46,21
"Viudo(a) (012)",2,,,,,2
"Divorciado(a) (013)",2,,,,2,
"Soltero(a) (014)",96,3,79,13,1,
"Mujeres (016)",64,2,43,14,5,
"Conviviente (017)",12,,10,2,,
"Separado(a) (018)",4,,1,1,2,
"Casado(a) (019)",12,,4,6,2,
"Viudo(a) (020)",1,,,,1,
"Soltero(a) (022)",35,2,28,5,,
,,,,,,
"AREA URBANA (024)",125,1,62,43,15,4
"Conviviente (025)",31,,16,13,2,
"Separado(a) (026)",2,,1,1,,
"Casado(a) (027)",44,,7,22,12,3
"Viudo(a) (028)",1,,,,,1
"Soltero(a) (030)",47,1,38,7,1,
"Hombres (032)",94,1,41,35,13,4
"Conviviente (033)",25,,12,11,2,
"Casado(a) (035)",37,,5,19,10,3
"Viudo(a) (036)",1,,,,,1
"Soltero(a) (038)",31,1,24,5,1,
"Mujeres (040)",31,,21,8,2,
"Conviviente (041)",6,,4,2,,
"Separado(a) (042)",2,,1,1,,
"Casado(a) (043)",7,,2,3,2,
"Soltero(a) (046)",16,,14,2,,
,,,,,,
"AREA RURAL (048)",288,4,130,91,44,19
"Conviviente (049)",70,,46,22,2,
"Separado(a) (050)",6,,1,2,3,
"Casado(a) (051)",124,,14,56,36,18
"Viudo(a) (052)",2,,,,1,1
"Divorciado(a) (053)",2,,,,2,
"Soltero(a) (054)",84,4,69,11,,
"Hombres (056)",255,2,108,85,41,19
"Conviviente (057)",64,,40,22,2,
"Separado(a) (058)",4,,1,2,1,
"Casado(a) (059)",119,,12,53,36,18
"Viudo(a) (060)",1,,,,,1
"Divorciado(a) (061)",2,,,,2,
"Soltero(a) (062)",65,2,55,8,,
"Mujeres (064)",33,2,22,6,3,
"Conviviente (065)",6,,6,,,
"Separado(a) (066)",2,,,,2,
"Casado(a) (067)",5,,2,3,,
"Viudo(a) (068)",1,,,,1,
"Soltero(a) (070)",19,2,14,3,,
