"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia PALPA (000)",12875,12767,73,35
"Hombres (001)",6602,6543,39,20
"Mujeres (002)",6273,6224,34,15
"Menores de 1 año (003)",244,206,26,12
"Hombres (004)",126,101,17,8
"Mujeres (005)",118,105,9,4
"De 1 a 5 años (006)",1170,1115,32,23
"Hombres (007)",618,589,17,12
"Mujeres (008)",552,526,15,11
"De 6 a 14 años (009)",2160,2158,2,
"Hombres (010)",1105,1103,2,
"Mujeres (011)",1055,1055,,
"De 15 a 29 años (012)",3381,3381,,
"Hombres (013)",1717,1717,,
"Mujeres (014)",1664,1664,,
"De 30 a 44 años (015)",2566,2565,1,
"Hombres (016)",1273,1272,1,
"Mujeres (017)",1293,1293,,
"De 45 a 64 años (018)",2171,2170,1,
"Hombres (019)",1119,1119,,
"Mujeres (020)",1052,1051,1,
"De 65 a más años (021)",1183,1172,11,
"Hombres (022)",644,642,2,
"Mujeres (023)",539,530,9,
,,,,
"URBANA (024)",8489,8414,50,25
"Hombres (025)",4246,4206,26,14
"Mujeres (026)",4243,4208,24,11
"Menores de 1 año (027)",170,141,18,11
"Hombres (028)",83,65,11,7
"Mujeres (029)",87,76,7,4
"De 1 a 5 años (030)",782,744,24,14
"Hombres (031)",415,394,14,7
"Mujeres (032)",367,350,10,7
"De 6 a 14 años (033)",1484,1484,,
"Hombres (034)",764,764,,
"Mujeres (035)",720,720,,
"De 15 a 29 años (036)",2215,2215,,
"Hombres (037)",1079,1079,,
"Mujeres (038)",1136,1136,,
"De 30 a 44 años (039)",1703,1703,,
"Hombres (040)",822,822,,
"Mujeres (041)",881,881,,
"De 45 a 64 años (042)",1404,1404,,
"Hombres (043)",689,689,,
"Mujeres (044)",715,715,,
"De 65 a más años (045)",731,723,8,
"Hombres (046)",394,393,1,
"Mujeres (047)",337,330,7,
,,,,
"RURAL (048)",4386,4353,23,10
"Hombres (049)",2356,2337,13,6
"Mujeres (050)",2030,2016,10,4
"Menores de 1 año (051)",74,65,8,1
"Hombres (052)",43,36,6,1
"Mujeres (053)",31,29,2,
"De 1 a 5 años (054)",388,371,8,9
"Hombres (055)",203,195,3,5
"Mujeres (056)",185,176,5,4
"De 6 a 14 años (057)",676,674,2,
"Hombres (058)",341,339,2,
"Mujeres (059)",335,335,,
"De 15 a 29 años (060)",1166,1166,,
"Hombres (061)",638,638,,
"Mujeres (062)",528,528,,
"De 30 a 44 años (063)",863,862,1,
"Hombres (064)",451,450,1,
"Mujeres (065)",412,412,,
"De 45 a 64 años (066)",767,766,1,
"Hombres (067)",430,430,,
"Mujeres (068)",337,336,1,
"De 65 a más años (069)",452,449,3,
"Hombres (070)",250,249,1,
"Mujeres (071)",202,200,2,
