"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia CAYLLOMA (000)",26880,70639,62815,,1268,88.9,1.8
"De 12 a 14 años (001)",2406,10,10,,2,100,20
"De 15 a 19 años (002)",3438,519,498,156,96,30.1,
"De 20 a 24 años (003)",3264,2884,2803,318,97.2,11,
"De 25 a 29 años (004)",3155,5098,4917,334,96.4,6.6,
"De 30 a 34 años (005)",2756,6367,6170,223,96.9,3.5,
"De 35 a 39 años (006)",2433,7541,7193,163,95.4,2.2,
"De 40 a 44 años (007)",2146,8337,7761,57,93.1,0.7,
"De 45 a 49 años (008)",1643,7511,6880,15,91.6,0.2,
"De 50 y más años (009)",5639,32372,26583,,82.1,,
"PEA (010)",12969,37086,33403,502,90.1,1.4,
"De 12 a 14 años (011)",168,4,4,1,100,25,
"De 15 a 19 años (012)",988,213,205,52,96.2,24.4,
"De 20 a 24 años (013)",1776,1500,1455,110,97,7.3,
"De 25 a 29 años (014)",1856,2793,2700,138,96.7,4.9,
"De 30 a 34 años (015)",1690,3680,3568,96,97,2.6,
"De 35 a 39 años (016)",1535,4631,4397,72,94.9,1.6,
"De 40 a 44 años (017)",1377,5212,4864,26,93.3,0.5,
"De 45 a 49 años (018)",1049,4749,4353,7,91.7,0.1,
"De 50 y más años (019)",2530,14304,11857,,82.9,,
"Ocupada (020)",12659,36451,32856,493,90.1,1.4,
"De 12 a 14 años (021)",163,4,4,1,100,25,
"De 15 a 19 años (022)",942,207,199,52,96.1,25.1,
"De 20 a 24 años (023)",1711,1458,1416,109,97.1,7.5,
"De 25 a 29 años (024)",1797,2731,2639,135,96.6,4.9,
"De 30 a 34 años (025)",1663,3633,3526,94,97.1,2.6,
"De 35 a 39 años (026)",1505,4540,4313,71,95,1.6,
"De 40 a 44 años (027)",1357,5147,4804,25,93.3,0.5,
"De 45 a 49 años (028)",1028,4639,4265,6,91.9,0.1,
"De 50 y más años (029)",2493,14092,11690,,83,,
"Desocupada (030)",310,635,547,9,86.1,1.4,
"De 12 a 14 años (031)",5,,,,,,
"De 15 a 19 años (032)",46,6,6,,100,,
"De 20 a 24 años (033)",65,42,39,1,92.9,2.4,
"De 25 a 29 años (034)",59,62,61,3,98.4,4.8,
"De 30 a 34 años (035)",27,47,42,2,89.4,4.3,
