"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia HUALGAYOC (000)",84392,3593,9575,11831,9299,15285,11901,16884,6024
"Sabe leer y escribir (001)",61156,,7100,11631,8826,13247,8861,9479,2012
"No sabe leer y escribir (002)",23236,3593,2475,200,473,2038,3040,7405,4012
"Hombres (004)",40851,1830,4803,6035,4477,7080,5663,8126,2837
"Sabe leer y escribir (005)",34034,,3556,5964,4362,6722,5156,6637,1637
"No sabe leer y escribir (006)",6817,1830,1247,71,115,358,507,1489,1200
"Mujeres (008)",43541,1763,4772,5796,4822,8205,6238,8758,3187
"Sabe leer y escribir (009)",27122,,3544,5667,4464,6525,3705,2842,375
"No sabe leer y escribir (010)",16419,1763,1228,129,358,1680,2533,5916,2812
,,,,,,,,,
"URBANA (012)",19308,727,1838,2260,2002,3884,3253,4200,1144
"Sabe leer y escribir (013)",16064,,1483,2229,1966,3711,2929,3195,551
"No sabe leer y escribir (014)",3244,727,355,31,36,173,324,1005,593
"Hombres (016)",9880,362,932,1159,990,1945,1698,2244,550
"Sabe leer y escribir (017)",8899,,750,1145,977,1910,1648,2083,386
"No sabe leer y escribir (018)",981,362,182,14,13,35,50,161,164
"Mujeres (020)",9428,365,906,1101,1012,1939,1555,1956,594
"Sabe leer y escribir (021)",7165,,733,1084,989,1801,1281,1112,165
"No sabe leer y escribir (022)",2263,365,173,17,23,138,274,844,429
,,,,,,,,,
"RURAL (024)",65084,2866,7737,9571,7297,11401,8648,12684,4880
"Sabe leer y escribir (025)",45092,,5617,9402,6860,9536,5932,6284,1461
"No sabe leer y escribir (026)",19992,2866,2120,169,437,1865,2716,6400,3419
"Hombres (028)",30971,1468,3871,4876,3487,5135,3965,5882,2287
"Sabe leer y escribir (029)",25135,,2806,4819,3385,4812,3508,4554,1251
"No sabe leer y escribir (030)",5836,1468,1065,57,102,323,457,1328,1036
"Mujeres (032)",34113,1398,3866,4695,3810,6266,4683,6802,2593
"Sabe leer y escribir (033)",19957,,2811,4583,3475,4724,2424,1730,210
"No sabe leer y escribir (034)",14156,1398,1055,112,335,1542,2259,5072,2383
