"CUADRO Nº 31: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,,
,,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,,DESOCU-PADO
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA",
,,,,,,,,,,,,,
"Provincia SECHURA (000)",20106,34,927,591,574,2949,5133,1545,2360,4718,56,262,957
"Agric., ganadería, caza y silvicultura (001)",4358,,3,2,3,,2716,,3,1631,,,
"Pesca (002)",3946,1,5,20,7,,2417,13,101,1382,,,
"Explotación de minas y canteras (003)",24,,3,5,4,,,5,3,4,,,
"Industrias manufactureras (004)",1675,,21,54,16,8,,1220,298,58,,,
"Suministro de electricidad, gas y agua (005)",25,,1,4,3,,,4,7,6,,,
"Construcción (006)",636,,6,17,7,,,63,388,155,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (007)",3032,,14,59,17,2345,,217,33,347,,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",248,,2,5,2,37,,184,11,7,,,
"Comercio al por mayor (009)",335,,2,10,8,275,,2,10,28,,,
"Comercio al por menor (010)",2449,,10,44,7,2033,,31,12,312,,,
"Hoteles y restaurantes (011)",713,,2,27,20,478,,1,,185,,,
"Trans., almac. y comunicaciones (012)",1680,1,4,42,20,2,,3,1443,165,,,
"Intermediación financiera (013)",34,,3,7,23,,,,,1,,,
"Activid.inmobil., empres. y alquileres (014)",403,,70,97,63,54,,8,11,100,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",704,22,43,59,329,14,,5,60,116,56,,
"Enseñanza (016)",663,8,628,4,14,,,2,,7,,,
"Servicios sociales y de salud (017)",138,,34,80,8,8,,1,2,5,,,
"Otras activ. serv.comun.soc y personales (018)",429,2,90,113,37,40,,3,11,133,,,
"Hogares privados con servicio doméstico (019)",423,,,,,,,,,423,,,
"Actividad economica no especificada (021)",266,,,1,3,,,,,,,262,
"Desocupado (022)",957,,,,,,,,,,,,957
"Hombres (023)",14776,29,457,349,205,974,5015,899,2297,3614,55,71,811
"Agric., ganadería, caza y silvicultura (024)",4124,,2,2,1,,2629,,3,1487,,,
"Pesca (025)",3880,1,5,16,2,,2386,13,101,1356,,,
"Explotación de minas y canteras (026)",20,,2,4,2,,,5,3,4,,,
"Industrias manufactureras (027)",943,,19,38,12,5,,581,258,30,,,
"Suministro de electricidad, gas y agua (028)",23,,1,4,1,,,4,7,6,,,
"Construcción (029)",620,,6,16,1,,,63,383,151,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (030)",1301,,9,34,6,836,,214,33,169,,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",236,,2,5,1,29,,181,11,7,,,
"Comercio al por mayor (032)",245,,2,7,5,198,,2,10,21,,,
"Comercio al por menor (033)",820,,5,22,,609,,31,12,141,,,
"Hoteles y restaurantes (034)",109,,,8,9,55,,,,37,,,
"Trans., almac. y comunicaciones (035)",1607,1,2,28,9,2,,3,1434,128,,,
"Intermediación financiera (036)",14,,2,3,9,,,,,,,,
"Activid.inmobil., empres. y alquileres (037)",263,,46,61,14,53,,8,11,70,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",386,19,26,14,119,13,,3,51,86,55,,
"Enseñanza (039)",264,6,239,4,6,,,2,,7,,,
"Servicios sociales y de salud (040)",49,,15,19,7,2,,,2,4,,,
"Otras activ. serv.comun.soc y personales (041)",276,2,83,97,6,8,,3,11,66,,,
"Hogares privados con servicio doméstico (042)",13,,,,,,,,,13,,,
"Actividad economica no especificada (044)",73,,,1,1,,,,,,,71,
"Desocupado (045)",811,,,,,,,,,,,,811
"Mujeres (046)",5330,5,470,242,369,1975,118,646,63,1104,1,191,146
"Agric., ganadería, caza y silvicultura (047)",234,,1,,2,,87,,,144,,,
"Pesca (048)",66,,,4,5,,31,,,26,,,
"Explotación de minas y canteras (049)",4,,1,1,2,,,,,,,,
"Industrias manufactureras (050)",732,,2,16,4,3,,639,40,28,,,
"Suministro de electricidad, gas y agua (051)",2,,,,2,,,,,,,,
"Construcción (052)",16,,,1,6,,,,5,4,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (053)",1731,,5,25,11,1509,,3,,178,,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",12,,,,1,8,,3,,,,,
"Comercio al por mayor (055)",90,,,3,3,77,,,,7,,,
"Comercio al por menor (056)",1629,,5,22,7,1424,,,,171,,,
"Hoteles y restaurantes (057)",604,,2,19,11,423,,1,,148,,,
"Trans., almac. y comunicaciones (058)",73,,2,14,11,,,,9,37,,,
"Intermediación financiera (059)",20,,1,4,14,,,,,1,,,
"Activid.inmobil., empres. y alquileres (060)",140,,24,36,49,1,,,,30,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",318,3,17,45,210,1,,2,9,30,1,,
"Enseñanza (062)",399,2,389,,8,,,,,,,,
"Servicios sociales y de salud (063)",89,,19,61,1,6,,1,,1,,,
"Otras activ. serv.comun.soc y personales (064)",153,,7,16,31,32,,,,67,,,
"Hogares privados con servicio doméstico (065)",410,,,,,,,,,410,,,
"Actividad economica no especificada (067)",193,,,,2,,,,,,,191,
"Desocupado (068)",146,,,,,,,,,,,,146
,,,,,,,,,,,,,
"URBANA (069)",18680,33,906,584,570,2796,4631,1518,2273,4154,55,256,904
"Agric., ganadería, caza y silvicultura (070)",3520,,3,2,3,,2256,,2,1254,,,
"Pesca (071)",3812,1,5,20,7,,2375,10,101,1293,,,
"Explotación de minas y canteras (072)",23,,3,5,4,,,5,2,4,,,
"Industrias manufactureras (073)",1627,,21,54,16,8,,1204,266,58,,,
"Suministro de electricidad, gas y agua (074)",25,,1,4,3,,,4,7,6,,,
"Construcción (075)",633,,6,17,7,,,63,386,154,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (076)",2852,,14,59,16,2242,,210,27,284,,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",241,,2,5,2,37,,177,11,7,,,
"Comercio al por mayor (078)",330,,2,10,7,272,,2,10,27,,,
"Comercio al por menor (079)",2281,,10,44,7,1933,,31,6,250,,,
"Hoteles y restaurantes (080)",660,,2,27,20,432,,1,,178,,,
"Trans., almac. y comunicaciones (081)",1633,1,4,41,20,2,,3,1399,163,,,
"Intermediación financiera (082)",34,,3,7,23,,,,,1,,,
"Activid.inmobil., empres. y alquileres (083)",394,,70,95,63,52,,7,11,96,,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",697,21,43,59,326,13,,5,60,115,55,,
"Enseñanza (085)",644,8,609,4,14,,,2,,7,,,
"Servicios sociales y de salud (086)",133,,32,77,8,8,,1,2,5,,,
"Otras activ. serv.comun.soc y personales (087)",420,2,90,112,37,39,,3,10,127,,,
"Hogares privados con servicio doméstico (088)",409,,,,,,,,,409,,,
"Actividad economica no especificada (090)",260,,,1,3,,,,,,,256,
"Desocupado (091)",904,,,,,,,,,,,,904
"Hombres (092)",13597,28,454,345,204,904,4533,878,2239,3126,54,70,762
"Agric., ganadería, caza y silvicultura (093)",3345,,2,2,1,,2188,,2,1150,,,
"Pesca (094)",3748,1,5,16,2,,2345,10,101,1268,,,
"Explotación de minas y canteras (095)",19,,2,4,2,,,5,2,4,,,
"Industrias manufactureras (096)",929,,19,38,12,5,,571,254,30,,,
"Suministro de electricidad, gas y agua (097)",23,,1,4,1,,,4,7,6,,,
"Construcción (098)",617,,6,16,1,,,63,381,150,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (099)",1171,,9,34,6,772,,207,27,116,,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",229,,2,5,1,29,,174,11,7,,,
"Comercio al por mayor (101)",243,,2,7,5,197,,2,10,20,,,
"Comercio al por menor (102)",699,,5,22,,546,,31,6,89,,,
"Hoteles y restaurantes (103)",104,,,8,9,51,,,,36,,,
"Trans., almac. y comunicaciones (104)",1561,1,2,27,9,2,,3,1391,126,,,
"Intermediación financiera (105)",14,,2,3,9,,,,,,,,
"Activid.inmobil., empres. y alquileres (106)",255,,46,59,14,52,,7,11,66,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",381,18,26,14,118,12,,3,51,85,54,,
"Enseñanza (108)",261,6,236,4,6,,,2,,7,,,
"Servicios sociales y de salud (109)",49,,15,19,7,2,,,2,4,,,
"Otras activ. serv.comun.soc y personales (110)",273,2,83,96,6,8,,3,10,65,,,
"Hogares privados con servicio doméstico (111)",13,,,,,,,,,13,,,
"Actividad economica no especificada (113)",72,,,1,1,,,,,,,70,
"Desocupado (114)",762,,,,,,,,,,,,762
"Mujeres (115)",5083,5,452,239,366,1892,98,640,34,1028,1,186,142
"Agric., ganadería, caza y silvicultura (116)",175,,1,,2,,68,,,104,,,
"Pesca (117)",64,,,4,5,,30,,,25,,,
"Explotación de minas y canteras (118)",4,,1,1,2,,,,,,,,
"Industrias manufactureras (119)",698,,2,16,4,3,,633,12,28,,,
"Suministro de electricidad, gas y agua (120)",2,,,,2,,,,,,,,
"Construcción (121)",16,,,1,6,,,,5,4,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (122)",1681,,5,25,10,1470,,3,,168,,,
"Venta, mant.y rep. veh.autom.y motoc. (123)",12,,,,1,8,,3,,,,,
"Comercio al por mayor (124)",87,,,3,2,75,,,,7,,,
"Comercio al por menor (125)",1582,,5,22,7,1387,,,,161,,,
"Hoteles y restaurantes (126)",556,,2,19,11,381,,1,,142,,,
"Trans., almac. y comunicaciones (127)",72,,2,14,11,,,,8,37,,,
"Intermediación financiera (128)",20,,1,4,14,,,,,1,,,
"Activid.inmobil., empres. y alquileres (129)",139,,24,36,49,,,,,30,,,
"Admin.pub. y defensa; p. segur.soc.afil (130)",316,3,17,45,208,1,,2,9,30,1,,
"Enseñanza (131)",383,2,373,,8,,,,,,,,
"Servicios sociales y de salud (132)",84,,17,58,1,6,,1,,1,,,
"Otras activ. serv.comun.soc y personales (133)",147,,7,16,31,31,,,,62,,,
"Hogares privados con servicio doméstico (134)",396,,,,,,,,,396,,,
"Actividad economica no especificada (136)",188,,,,2,,,,,,,186,
"Desocupado (137)",142,,,,,,,,,,,,142
,,,,,,,,,,,,,
"RURAL (138)",1426,1,21,7,4,153,502,27,87,564,1,6,53
"Agric., ganadería, caza y silvicultura (139)",838,,,,,,460,,1,377,,,
"Pesca (140)",134,,,,,,42,3,,89,,,
"Explotación de minas y canteras (141)",1,,,,,,,,1,,,,
"Industrias manufactureras (142)",48,,,,,,,16,32,,,,
