"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia JULCAN (000)",931,54,425,233,152,67
"Conviviente (001)",260,1,69,117,57,16
"Separado(a) (002)",14,,5,4,5,
"Casado(a) (003)",173,,13,69,63,28
"Viudo(a) (004)",34,,1,5,8,20
"Divorciado(a) (005)",3,,,,2,1
"Soltero(a) (006)",447,53,337,38,17,2
"Hombres (008)",777,29,326,213,145,64
"Conviviente (009)",249,1,62,114,57,15
"Separado(a) (010)",4,,,2,2,
"Casado(a) (011)",162,,12,61,62,27
"Viudo(a) (012)",30,,1,3,7,19
"Divorciado(a) (013)",3,,,,2,1
"Soltero(a) (014)",329,28,251,33,15,2
"Mujeres (016)",154,25,99,20,7,3
"Conviviente (017)",11,,7,3,,1
"Separado(a) (018)",10,,5,2,3,
"Casado(a) (019)",11,,1,8,1,1
"Viudo(a) (020)",4,,,2,1,1
"Soltero(a) (022)",118,25,86,5,2,
,,,,,,
"AREA URBANA (024)",193,8,81,62,35,7
"Conviviente (025)",55,,19,26,9,1
"Separado(a) (026)",3,,1,1,1,
"Casado(a) (027)",46,,3,23,19,1
"Viudo(a) (028)",8,,,2,2,4
"Divorciado(a) (029)",1,,,,,1
"Soltero(a) (030)",80,8,58,10,4,
"Hombres (032)",157,6,61,52,32,6
"Conviviente (033)",52,,17,25,9,1
"Casado(a) (035)",39,,2,18,18,1
"Viudo(a) (036)",5,,,,2,3
"Divorciado(a) (037)",1,,,,,1
"Soltero(a) (038)",60,6,42,9,3,
"Mujeres (040)",36,2,20,10,3,1
"Conviviente (041)",3,,2,1,,
"Separado(a) (042)",3,,1,1,1,
"Casado(a) (043)",7,,1,5,1,
"Viudo(a) (044)",3,,,2,,1
"Soltero(a) (046)",20,2,16,1,1,
,,,,,,
"AREA RURAL (048)",738,46,344,171,117,60
"Conviviente (049)",205,1,50,91,48,15
"Separado(a) (050)",11,,4,3,4,
"Casado(a) (051)",127,,10,46,44,27
"Viudo(a) (052)",26,,1,3,6,16
"Divorciado(a) (053)",2,,,,2,
"Soltero(a) (054)",367,45,279,28,13,2
"Hombres (056)",620,23,265,161,113,58
"Conviviente (057)",197,1,45,89,48,14
"Separado(a) (058)",4,,,2,2,
"Casado(a) (059)",123,,10,43,44,26
"Viudo(a) (060)",25,,1,3,5,16
"Divorciado(a) (061)",2,,,,2,
"Soltero(a) (062)",269,22,209,24,12,2
"Mujeres (064)",118,23,79,10,4,2
"Conviviente (065)",8,,5,2,,1
"Separado(a) (066)",7,,4,1,2,
"Casado(a) (067)",4,,,3,,1
"Viudo(a) (068)",1,,,,1,
"Soltero(a) (070)",98,23,70,4,1,
