"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia MAYNAS (000)",168136,3380,58773,58632,40438,6913
"Agric., ganadería, caza y silvicultura (001)",35013,1323,11445,10283,8942,3020
"Pesca (002)",1791,62,599,566,478,86
"Explotación de minas y canteras (003)",622,2,160,233,214,13
"Industrias manufactureras (004)",11944,150,4383,4080,2898,433
"Suministro de electricidad, gas y agua (005)",442,13,168,146,105,10
"Construcción (006)",8618,49,3083,3190,2071,225
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",35028,805,12219,12098,8484,1422
"Venta, mant.y rep. veh.autom.y motoc. (008)",3551,68,1516,1119,761,87
"Comercio al por mayor (009)",1768,14,717,632,358,47
"Comercio al por menor (010)",29709,723,9986,10347,7365,1288
"Hoteles y restaurantes (011)",10270,268,3647,3482,2486,387
"Trans., almac. y comunicaciones (012)",15755,127,6527,5688,3197,216
"Intermediación financiera (013)",728,,292,292,134,10
"Activid.inmobil., empres. y alquileres (014)",7198,24,2831,2747,1469,127
"Admin.pub. y defensa; p. segur.soc.afil (015)",6760,,1930,2830,1919,81
"Enseñanza (016)",11272,,1997,5676,3449,150
"Servicios sociales y de salud (017)",3355,1,925,1489,859,81
"Otras activ. serv.comun.soc y personales (018)",4636,121,1698,1588,1035,194
"Hogares privados con servicio doméstico (019)",6311,345,3484,1469,864,149
"Organiz. y organos extraterritoriales (020)",5,,,1,3,1
"Actividad economica no especificada (021)",8388,90,3385,2774,1831,308
"Hombres (022)",108369,2065,38373,36771,26274,4886
"Agric., ganadería, caza y silvicultura (023)",26739,865,8916,7831,6770,2357
"Pesca (024)",1645,52,549,523,438,83
"Explotación de minas y canteras (025)",586,1,137,228,207,13
"Industrias manufactureras (026)",9344,136,3765,3057,2057,329
"Suministro de electricidad, gas y agua (027)",378,12,143,122,92,9
"Construcción (028)",8355,48,2972,3085,2028,222
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",18712,533,6882,6039,4415,843
"Venta, mant.y rep. veh.autom.y motoc. (030)",3241,65,1348,1029,712,87
"Comercio al por mayor (031)",1161,7,474,397,250,33
"Comercio al por menor (032)",14310,461,5060,4613,3453,723
"Hoteles y restaurantes (033)",3071,105,1345,844,652,125
"Trans., almac. y comunicaciones (034)",14844,116,6026,5418,3073,211
"Intermediación financiera (035)",402,,148,160,85,9
"Activid.inmobil., empres. y alquileres (036)",5148,20,1922,1972,1120,114
