"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CHUMBIVILCAS (000)",70368,4200,10778,11688,6690,8469,8217,15011,5315
"Sin nivel (001)",16285,4200,1368,70,93,410,1096,5440,3608
"Educación inicial (002)",2031,,1959,23,12,15,22,,
"Primaria (003)",34265,,7451,8879,1453,3362,4163,7430,1527
"Secundaria (004)",15054,,,2716,5042,3765,1954,1441,136
"Superior no univ. incompleto (005)",648,,,,57,309,177,98,7
"Superior no univ. completo (006)",1009,,,,,313,414,262,20
"Superior univ. incompleto (007)",297,,,,33,121,71,69,3
"Superior univ. completo (008)",779,,,,,174,320,271,14
"Hombres (010)",35491,2143,5404,6108,3621,4042,4047,7616,2510
"Sin nivel (011)",5217,2143,660,40,33,86,157,979,1119
"Educación inicial (012)",1018,,996,8,5,4,5,,
"Primaria (013)",18065,,3748,4515,606,1130,1887,4927,1252
"Secundaria (014)",9418,,,1545,2929,2278,1365,1192,109
"Superior no univ. incompleto (015)",423,,,,28,180,125,84,6
"Superior no univ. completo (016)",649,,,,,183,267,188,11
"Superior univ. incompleto (017)",214,,,,20,89,53,52,
"Superior univ. completo (018)",487,,,,,92,188,194,13
"Mujeres (020)",34877,2057,5374,5580,3069,4427,4170,7395,2805
"Sin nivel (021)",11068,2057,708,30,60,324,939,4461,2489
"Educación inicial (022)",1013,,963,15,7,11,17,,
"Primaria (023)",16200,,3703,4364,847,2232,2276,2503,275
"Secundaria (024)",5636,,,1171,2113,1487,589,249,27
"Superior no univ. incompleto (025)",225,,,,29,129,52,14,1
"Superior no univ. completo (026)",360,,,,,130,147,74,9
"Superior univ. incompleto (027)",83,,,,13,32,18,17,3
"Superior univ. completo (028)",292,,,,,82,132,77,1
,,,,,,,,,
"URBANA (030)",16359,871,2238,2586,1850,2426,2312,3178,898
"Sin nivel (031)",2464,871,185,21,17,50,142,683,495
"Educación inicial (032)",517,,490,10,6,6,5,,
"Primaria (033)",6408,,1563,1689,206,513,715,1407,315
"Secundaria (034)",4941,,,866,1558,1223,691,548,55
"Superior no univ. incompleto (035)",388,,,,38,181,98,65,6
