"CUADRO Nº 17: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia GRAU (000)",5790,1109,927,2783,55,856,60
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",53,53,,,,,
"Profes., científicos e intelectuales (002)",689,654,,35,,,
"Técnicos de nivel medio y trab. asimilados (003)",100,84,,9,7,,
"Jefes y empleados de oficina (004)",152,152,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",385,31,7,286,7,54,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",2022,,,1991,31,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",368,,140,213,1,14,
"Obreros construc.,conf.,papel, fab., instr. (008)",261,30,130,84,6,11,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",1589,69,622,96,,742,60
"Otra (010)",20,20,,,,,
"Ocupación no especificada (011)",151,16,28,69,3,35,
"Hombres (012)",4236,726,848,2170,45,436,11
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",43,43,,,,,
"Profes., científicos e intelectuales (014)",432,409,,23,,,
"Técnicos de nivel medio y trab. asimilados (015)",65,55,,6,4,,
"Jefes y empleados de oficina (016)",108,108,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",119,17,2,86,3,11,
"Agricult.trabaj.calif.agrop.y pesqueros (018)",1765,,,1736,29,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",313,,129,175,1,8,
"Obreros construc.,conf.,papel, fab., instr. (020)",256,30,126,84,6,10,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",1038,35,571,26,,395,11
"Otra (022)",20,20,,,,,
"Ocupación no especificada (023)",77,9,20,34,2,12,
"Mujeres (024)",1554,383,79,613,10,420,49
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",10,10,,,,,
"Profes., científicos e intelectuales (026)",257,245,,12,,,
"Técnicos de nivel medio y trab. asimilados (027)",35,29,,3,3,,
"Jefes y empleados de oficina (028)",44,44,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",266,14,5,200,4,43,
"Agricult.trabaj.calif.agrop.y pesqueros (030)",257,,,255,2,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",55,,11,38,,6,
"Obreros construc.,conf.,papel, fab., instr. (032)",5,,4,,,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",551,34,51,70,,347,49
"Ocupación no especificada (035)",74,7,8,35,1,23,
,,,,,,,
"URBANA (036)",2694,866,482,994,24,281,47
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",44,44,,,,,
"Profes., científicos e intelectuales (038)",529,505,,24,,,
"Técnicos de nivel medio y trab. asimilados (039)",71,58,,7,6,,
"Jefes y empleados de oficina (040)",136,136,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",297,17,5,221,6,48,
"Agricult.trabaj.calif.agrop.y pesqueros (042)",485,,,480,5,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (043)",192,,70,116,1,5,
"Obreros construc.,conf.,papel, fab., instr. (044)",136,18,62,51,3,2,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (045)",716,56,332,79,,202,47
"Otra (046)",19,19,,,,,
"Ocupación no especificada (047)",69,13,13,16,3,24,
"Hombres (048)",1779,547,435,646,14,128,9
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",35,35,,,,,
"Profes., científicos e intelectuales (050)",317,301,,16,,,
"Técnicos de nivel medio y trab. asimilados (051)",43,36,,4,3,,
"Jefes y empleados de oficina (052)",93,93,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",82,12,2,56,2,10,
"Agricult.trabaj.calif.agrop.y pesqueros (054)",402,,,399,3,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (055)",164,,66,95,1,2,
"Obreros construc.,conf.,papel, fab., instr. (056)",135,18,61,51,3,2,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (057)",458,27,298,17,,107,9
"Otra (058)",19,19,,,,,
"Ocupación no especificada (059)",31,6,8,8,2,7,
"Mujeres (060)",915,319,47,348,10,153,38
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",9,9,,,,,
"Profes., científicos e intelectuales (062)",212,204,,8,,,
"Técnicos de nivel medio y trab. asimilados (063)",28,22,,3,3,,
"Jefes y empleados de oficina (064)",43,43,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",215,5,3,165,4,38,
"Agricult.trabaj.calif.agrop.y pesqueros (066)",83,,,81,2,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (067)",28,,4,21,,3,
"Obreros construc.,conf.,papel, fab., instr. (068)",1,,1,,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (069)",258,29,34,62,,95,38
"Ocupación no especificada (071)",38,7,5,8,1,17,
,,,,,,,
"RURAL (072)",3096,243,445,1789,31,575,13
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",9,9,,,,,
"Profes., científicos e intelectuales (074)",160,149,,11,,,
"Técnicos de nivel medio y trab. asimilados (075)",29,26,,2,1,,
"Jefes y empleados de oficina (076)",16,16,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",88,14,2,65,1,6,
"Agricult.trabaj.calif.agrop.y pesqueros (078)",1537,,,1511,26,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (079)",176,,70,97,,9,
"Obreros construc.,conf.,papel, fab., instr. (080)",125,12,68,33,3,9,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (081)",873,13,290,17,,540,13
"Otra (082)",1,1,,,,,
"Ocupación no especificada (083)",82,3,15,53,,11,
"Hombres (084)",2457,179,413,1524,31,308,2
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",8,8,,,,,
"Profes., científicos e intelectuales (086)",115,108,,7,,,
"Técnicos de nivel medio y trab. asimilados (087)",22,19,,2,1,,
"Jefes y empleados de oficina (088)",15,15,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",37,5,,30,1,1,
"Agricult.trabaj.calif.agrop.y pesqueros (090)",1363,,,1337,26,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (091)",149,,63,80,,6,
"Obreros construc.,conf.,papel, fab., instr. (092)",121,12,65,33,3,8,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (093)",580,8,273,9,,288,2
"Otra (094)",1,1,,,,,
"Ocupación no especificada (095)",46,3,12,26,,5,
"Mujeres (096)",639,64,32,265,,267,11
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (097)",1,1,,,,,
"Profes., científicos e intelectuales (098)",45,41,,4,,,
"Técnicos de nivel medio y trab. asimilados (099)",7,7,,,,,
"Jefes y empleados de oficina (100)",1,1,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (101)",51,9,2,35,,5,
