"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia AMBO (000)",19829,19341,6186,2112,2070,1768,2825,1954,1360,1066,488,60190
"De 12 a 14 años (001)",2359,2351,2344,7,,,,,,,8,7
"De 15 a 19 años (002)",2783,2760,2422,283,45,5,5,,,,23,408
"De 20 a 24 años (003)",2053,1901,742,679,352,103,23,2,,,152,1803
"De 25 a 29 años (004)",1857,1728,221,471,543,310,170,11,2,,129,3290
"De 30 a 34 años (005)",1761,1693,121,238,395,387,433,102,15,2,68,4866
"De 35 a 39 años (006)",1682,1646,77,138,252,321,539,236,72,11,36,6241
"De 40 a 44 años (007)",1437,1423,50,59,146,197,434,323,154,60,14,6906
"De 45 a 49 años (008)",1251,1234,29,68,97,140,332,259,191,118,17,6724
"De 50 y más años (009)",4646,4605,180,169,240,305,889,1021,926,875,41,29945
"Sin nivel (010)",5059,4993,344,276,373,408,1035,965,809,783,66,28829
"De 12 a 14 años (011)",32,32,32,,,,,,,,,
"De 15 a 19 años (012)",135,132,95,27,8,2,,,,,3,49
"De 20 a 24 años (013)",186,176,39,46,53,31,7,,,,10,274
"De 25 a 29 años (014)",298,286,17,47,85,73,57,6,1,,12,727
"De 30 a 34 años (015)",322,308,13,22,46,65,109,41,10,2,14,1149
"De 35 a 39 años (016)",401,396,13,17,26,45,154,96,39,6,5,1917
"De 40 a 44 años (017)",431,427,14,11,26,26,116,118,80,36,4,2495
"De 45 a 49 años (018)",431,428,12,18,15,23,106,98,84,72,3,2721
"De 50 y más años (019)",2823,2808,109,88,114,143,486,606,595,667,15,19497
"Educacion Inicial (020)",18,18,6,1,6,2,2,1,,,,33
"De 12 a 14 años (021)",3,3,3,,,,,,,,,
"De 15 a 19 años (022)",1,1,1,,,,,,,,,
