"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia PISCO (000)",47371,110435,102629,,2099,92.9,1.9
"De 12 a 14 años (001)",3881,11,11,,1,100,9.1
"De 15 a 19 años (002)",5970,826,818,263,99,31.8,
"De 20 a 24 años (003)",5775,4159,4097,548,98.5,13.2,
"De 25 a 29 años (004)",5284,7204,7098,526,98.5,7.3,
"De 30 a 34 años (005)",4957,10121,9894,410,97.8,4.1,
"De 35 a 39 años (006)",4615,12214,11812,258,96.7,2.1,
"De 40 a 44 años (007)",3875,12323,11748,85,95.3,0.7,
"De 45 a 49 años (008)",3219,12030,11257,8,93.6,0.1,
"De 50 y más años (009)",9795,51547,45894,,89,,
"PEA (010)",14466,32100,30278,431,94.3,1.3,
"De 12 a 14 años (011)",141,5,5,,100,,
"De 15 a 19 años (012)",1031,146,144,26,98.6,17.8,
"De 20 a 24 años (013)",1993,1062,1041,76,98,7.2,
"De 25 a 29 años (014)",2066,2284,2244,112,98.2,4.9,
"De 30 a 34 años (015)",2002,3559,3477,106,97.7,3,
"De 35 a 39 años (016)",1941,4704,4561,70,97,1.5,
"De 40 a 44 años (017)",1690,5120,4877,37,95.3,0.7,
"De 45 a 49 años (018)",1317,4745,4450,4,93.8,0.1,
"De 50 y más años (019)",2285,10475,9479,,90.5,,
"Ocupada (020)",13544,30776,29004,393,94.2,1.3,
"De 12 a 14 años (021)",137,5,5,,100,,
"De 15 a 19 años (022)",910,127,125,21,98.4,16.5,
"De 20 a 24 años (023)",1784,990,970,69,98,7,
"De 25 a 29 años (024)",1902,2139,2101,99,98.2,4.6,
"De 30 a 34 años (025)",1876,3368,3287,97,97.6,2.9,
"De 35 a 39 años (026)",1835,4467,4331,67,97,1.5,
"De 40 a 44 años (027)",1607,4884,4650,36,95.2,0.7,
"De 45 a 49 años (028)",1272,4607,4316,4,93.7,0.1,
"De 50 y más años (029)",2221,10189,9219,,90.5,,
"Desocupada (030)",922,1324,1274,38,96.2,2.9,
"De 12 a 14 años (031)",4,,,,,,
"De 15 a 19 años (032)",121,19,19,5,100,26.3,
"De 20 a 24 años (033)",209,72,71,7,98.6,9.7,
"De 25 a 29 años (034)",164,145,143,13,98.6,9,
"De 30 a 34 años (035)",126,191,190,9,99.5,4.7,
