"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CORONEL PORTILLO (000)",121102,1887,110,29339,55761,8398,10405,5495,9707
"Agric., ganadería, caza y silvicultura (001)",22681,1026,38,11304,8927,519,363,212,292
"Pesca (002)",1156,19,1,525,568,16,9,5,13
"Explotación de minas y canteras (003)",265,1,,29,125,19,24,17,50
"Industrias manufactureras (004)",11570,127,7,2644,6699,732,568,411,382
"Suministro de electricidad, gas y agua (005)",286,2,,58,93,17,46,18,52
"Construcción (006)",5452,18,4,999,3286,395,333,165,252
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",26428,269,21,6080,13618,2084,1881,1239,1236
"Venta, mant.y rep. veh.autom.y motoc. (008)",3184,11,,330,1577,402,459,178,227
"Comercio al por mayor (009)",1354,3,1,169,677,139,116,121,128
"Comercio al por menor (010)",21890,255,20,5581,11364,1543,1306,940,881
"Hoteles y restaurantes (011)",7078,100,6,1901,3814,484,323,279,171
"Trans., almac. y comunicaciones (012)",13709,57,17,1888,8720,1161,769,650,447
"Intermediación financiera (013)",415,,,3,66,34,80,87,145
"Activid.inmobil., empres. y de alquiler (014)",5506,14,,203,1529,686,834,747,1493
"Admin.pub. y defensa; p. segur.soc.afil (015)",4132,5,,188,1137,386,954,486,976
"Enseñanza (016)",7139,,,19,404,630,2938,444,2704
"Servicios sociales y de salud (017)",2143,2,1,89,295,183,472,200,901
"Otras activ. serv.comun.soc y personales (018)",3600,48,7,734,1667,415,276,242,211
"Hogares privados con servicio doméstico (019)",3859,87,3,1267,2143,206,97,38,18
"Organiz. y organos extraterritoriales (020)",10,,,,3,,,,7
"Actividad economica no especificada (021)",5673,112,5,1408,2667,431,438,255,357
"Hombres (022)",80101,964,67,18738,39355,5487,5816,3719,5955
"Agric., ganadería, caza y silvicultura (023)",18139,637,24,8672,7637,448,292,181,248
"Pesca (024)",1090,18,1,491,538,16,8,5,13
"Explotación de minas y canteras (025)",239,,,23,113,18,23,15,47
"Industrias manufactureras (026)",9034,58,6,1932,5512,555,375,317,279
"Suministro de electricidad, gas y agua (027)",255,2,,52,83,16,40,16,46
"Construcción (028)",5230,16,3,954,3169,382,314,157,235
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",14679,78,9,2917,7706,1224,1117,809,819
"Venta, mant.y rep. veh.autom.y motoc. (030)",2878,8,,300,1440,361,417,151,201
"Comercio al por mayor (031)",983,1,1,110,518,97,69,88,99
"Comercio al por menor (032)",10818,69,8,2507,5748,766,631,570,519
"Hoteles y restaurantes (033)",1841,15,4,333,1046,161,89,121,72
"Trans., almac. y comunicaciones (034)",13096,55,16,1848,8461,1086,669,587,374
"Intermediación financiera (035)",258,,,2,37,21,45,55,98
"Activid.inmobil., empres. y de alquiler (036)",3710,10,,162,1133,413,458,505,1029
"Admin.pub. y defensa; p. segur.soc.afil (037)",2835,4,,84,810,256,664,333,684
"Enseñanza (038)",3167,,,13,213,278,1193,198,1272
"Servicios sociales y de salud (039)",870,2,,36,120,73,153,91,395
