"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CUTERVO (000)",38736,774,13094,12836,9027,3005
"Agric., ganadería, caza y silvicultura (001)",28681,646,9884,8714,6794,2643
"Pesca (002)",1,,,1,,
"Explotación de minas y canteras (003)",44,2,17,12,11,2
"Industrias manufactureras (004)",662,9,218,225,168,42
"Suministro de electricidad, gas y agua (005)",39,,12,20,7,
"Construcción (006)",591,3,202,211,153,22
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1563,33,456,600,387,87
"Venta, mant.y rep. veh.autom.y motoc. (008)",92,5,36,39,11,1
"Comercio al por mayor (009)",82,1,32,31,15,3
"Comercio al por menor (010)",1389,27,388,530,361,83
"Hoteles y restaurantes (011)",390,15,128,133,96,18
"Trans., almac. y comunicaciones (012)",698,5,369,228,90,6
"Intermediación financiera (013)",7,,3,1,3,
"Activid.inmobil., empres. y alquileres (014)",148,,55,50,37,6
"Admin.pub. y defensa; p. segur.soc.afil (015)",475,,118,205,137,15
"Enseñanza (016)",2611,,448,1534,623,6
"Servicios sociales y de salud (017)",503,,208,242,44,9
"Otras activ. serv.comun.soc y personales (018)",364,9,140,125,72,18
"Hogares privados con servicio doméstico (019)",1110,50,543,268,193,56
"Actividad economica no especificada (021)",849,2,293,267,212,75
"Hombres (022)",31299,584,10530,10154,7397,2634
"Agric., ganadería, caza y silvicultura (023)",25843,526,8870,7843,6151,2453
"Pesca (024)",1,,,1,,
"Explotación de minas y canteras (025)",29,2,14,4,8,1
"Industrias manufactureras (026)",479,8,156,165,117,33
"Suministro de electricidad, gas y agua (027)",37,,11,20,6,
"Construcción (028)",580,3,196,206,153,22
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",892,24,257,335,223,53
"Venta, mant.y rep. veh.autom.y motoc. (030)",82,5,32,34,10,1
"Comercio al por mayor (031)",60,1,25,20,11,3
"Comercio al por menor (032)",750,18,200,281,202,49
"Hoteles y restaurantes (033)",86,7,29,30,17,3
"Trans., almac. y comunicaciones (034)",672,5,349,226,87,5
"Intermediación financiera (035)",6,,2,1,3,
"Activid.inmobil., empres. y alquileres (036)",121,,42,43,32,4
"Admin.pub. y defensa; p. segur.soc.afil (037)",357,,83,160,104,10
"Enseñanza (038)",1475,,217,862,390,6
"Servicios sociales y de salud (039)",230,,86,117,19,8
"Otras activ. serv.comun.soc y personales (040)",144,5,73,40,19,7
