"CUADRO Nº 11: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia MARISCAL CACERES (000)",12700,59,235,625,1163,2731,5043,2844
"De 12 a 14 años (001)",38,,,,,,9,29
"De 15 a 19 años (002)",720,,,,,,439,281
"De 20 a 24 años (003)",1539,,,,,5,1009,525
"De 25 a 29 años (004)",1724,,,,,117,1175,432
"De 30 a 34 años (005)",1664,,,,,307,1043,314
"De 35 a 39 años (006)",1601,,,,18,563,778,242
"De 40 a 44 años (007)",1339,,,,91,608,426,214
"De 45 a 49 años (008)",1076,,,11,200,574,141,150
"De 50 y más años (009)",2999,59,235,614,854,557,23,657
"Conviviente (010)",6325,2,21,104,328,1249,3301,1320
"De 12 a 14 años (011)",24,,,,,,4,20
"De 15 a 19 años (012)",535,,,,,,320,215
"De 20 a 24 años (013)",1049,,,,,1,737,311
"De 25 a 29 años (014)",1122,,,,,70,824,228
"De 30 a 34 años (015)",989,,,,,180,645,164
"De 35 a 39 años (016)",836,,,,10,262,459,105
"De 40 a 44 años (017)",621,,,,33,290,219,79
"De 45 a 49 años (018)",439,,,4,55,237,83,60
"De 50 y más años (019)",710,2,21,100,230,209,10,138
"Separado(a) (020)",570,1,10,27,82,161,158,131
"De 15 a 19 años (022)",27,,,,,,20,7
"De 20 a 24 años (023)",51,,,,,,33,18
"De 25 a 29 años (024)",51,,,,,8,28,15
"De 30 a 34 años (025)",63,,,,,17,34,12
"De 35 a 39 años (026)",82,,,,,40,26,16
"De 40 a 44 años (027)",63,,,,2,33,12,16
"De 45 a 49 años (028)",56,,,,12,31,5,8
"De 50 y más años (029)",177,1,10,27,68,32,,39
"Casado(a) (030)",4121,9,78,300,590,1116,1295,733
"De 12 a 14 años (031)",3,,,,,,1,2
"De 15 a 19 años (032)",69,,,,,,44,25
"De 20 a 24 años (033)",199,,,,,2,139,58
"De 25 a 29 años (034)",368,,,,,27,263,78
"De 30 a 34 años (035)",497,,,,,83,327,87
"De 35 a 39 años (036)",565,,,,4,218,271,72
"De 40 a 44 años (037)",562,,,,48,248,186,80
"De 45 a 49 años (038)",503,,,5,112,270,52,64
"De 50 y más años (039)",1355,9,78,295,426,268,12,267
"Viudo(a) (040)",735,43,109,166,121,77,19,200
"De 15 a 19 años (042)",2,,,,,,,2
"De 20 a 24 años (043)",6,,,,,,4,2
"De 25 a 29 años (044)",6,,,,,1,4,1
"De 30 a 34 años (045)",10,,,,,4,4,2
"De 35 a 39 años (046)",22,,,,1,10,4,7
"De 40 a 44 años (047)",16,,,,1,6,2,7
"De 45 a 49 años (048)",34,,,1,7,19,1,6
"De 50 y más años (049)",639,43,109,165,112,37,,173
