"CUADRO Nº 16: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia PICOTA (000)",14428,1363,2894,7052,387,1882,534,316
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",39,39,,,,,,
"Profes., científicos e intelectuales (002)",509,480,,28,1,,,
"Técnicos de nivel medio y trab. asimilados (003)",197,124,,49,19,5,,
"Jefes y empleados de oficina (004)",277,274,,1,,2,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1239,205,18,771,39,206,,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",5296,3,,5001,290,2,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",525,,216,268,15,26,,
"Obreros construc.,conf.,papel, fab., instr. (008)",702,56,224,400,13,9,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (009)",4940,103,2377,327,4,1595,534,
"Otra (010)",19,19,,,,,,
"Ocupación no especificada (011)",369,60,59,207,6,37,,
"Desocupado (012)",316,,,,,,,316
"Hombres (013)",10982,837,2536,5939,345,1072,19,234
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",30,30,,,,,,
"Profes., científicos e intelectuales (015)",304,281,,22,1,,,
"Técnicos de nivel medio y trab. asimilados (016)",135,76,,39,16,4,,
"Jefes y empleados de oficina (017)",156,155,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",559,123,4,378,20,34,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",4970,3,,4690,275,2,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",445,,198,217,15,15,,
"Obreros construc.,conf.,papel, fab., instr. (021)",695,56,221,397,13,8,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (022)",3259,56,2072,109,2,1001,19,
"Otra (023)",18,18,,,,,,
"Ocupación no especificada (024)",177,39,41,87,3,7,,
"Desocupado (025)",234,,,,,,,234
"Mujeres (026)",3446,526,358,1113,42,810,515,82
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",9,9,,,,,,
"Profes., científicos e intelectuales (028)",205,199,,6,,,,
"Técnicos de nivel medio y trab. asimilados (029)",62,48,,10,3,1,,
"Jefes y empleados de oficina (030)",121,119,,1,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",680,82,14,393,19,172,,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",326,,,311,15,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",80,,18,51,,11,,
"Obreros construc.,conf.,papel, fab., instr. (034)",7,,3,3,,1,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (035)",1681,47,305,218,2,594,515,
"Otra (036)",1,1,,,,,,
"Ocupación no especificada (037)",192,21,18,120,3,30,,
"Desocupado (038)",82,,,,,,,82
,,,,,,,,
"URBANA (039)",9176,1240,1880,4126,222,964,475,269
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",33,33,,,,,,
"Profes., científicos e intelectuales (041)",467,438,,28,1,,,
"Técnicos de nivel medio y trab. asimilados (042)",187,116,,47,19,5,,
"Jefes y empleados de oficina (043)",253,250,,1,,2,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",1126,192,18,695,35,186,,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",2443,1,,2311,131,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",479,,199,242,15,23,,
"Obreros construc.,conf.,papel, fab., instr. (047)",632,49,193,370,13,7,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (048)",3032,100,1423,313,4,717,475,
"Otra (049)",19,19,,,,,,
"Ocupación no especificada (050)",236,42,47,119,4,24,,
"Desocupado (051)",269,,,,,,,269
"Hombres (052)",6558,758,1630,3255,189,510,15,201
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",26,26,,,,,,
"Profes., científicos e intelectuales (054)",283,260,,22,1,,,
"Técnicos de nivel medio y trab. asimilados (055)",127,70,,37,16,4,,
"Jefes y empleados de oficina (056)",139,138,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",504,114,4,334,19,33,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",2288,1,,2166,121,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",407,,183,197,15,12,,
"Obreros construc.,conf.,papel, fab., instr. (060)",626,49,190,367,13,7,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (061)",1840,53,1219,101,2,450,15,
"Otra (062)",18,18,,,,,,
"Ocupación no especificada (063)",99,29,34,31,2,3,,
"Desocupado (064)",201,,,,,,,201
"Mujeres (065)",2618,482,250,871,33,454,460,68
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",7,7,,,,,,
"Profes., científicos e intelectuales (067)",184,178,,6,,,,
"Técnicos de nivel medio y trab. asimilados (068)",60,46,,10,3,1,,
"Jefes y empleados de oficina (069)",114,112,,1,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",622,78,14,361,16,153,,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",155,,,145,10,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",72,,16,45,,11,,
"Obreros construc.,conf.,papel, fab., instr. (073)",6,,3,3,,,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (074)",1192,47,204,212,2,267,460,
"Otra (075)",1,1,,,,,,
"Ocupación no especificada (076)",137,13,13,88,2,21,,
"Desocupado (077)",68,,,,,,,68
,,,,,,,,
"RURAL (078)",5252,123,1014,2926,165,918,59,47
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",6,6,,,,,,
"Profes., científicos e intelectuales (080)",42,42,,,,,,
"Técnicos de nivel medio y trab. asimilados (081)",10,8,,2,,,,
"Jefes y empleados de oficina (082)",24,24,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",113,13,,76,4,20,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",2853,2,,2690,159,2,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",46,,17,26,,3,,
"Obreros construc.,conf.,papel, fab., instr. (086)",70,7,31,30,,2,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (087)",1908,3,954,14,,878,59,
"Ocupación no especificada (089)",133,18,12,88,2,13,,
"Desocupado (090)",47,,,,,,,47
"Hombres (091)",4424,79,906,2684,156,562,4,33
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",4,4,,,,,,
"Profes., científicos e intelectuales (093)",21,21,,,,,,
"Técnicos de nivel medio y trab. asimilados (094)",8,6,,2,,,,
"Jefes y empleados de oficina (095)",17,17,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (096)",55,9,,44,1,1,,
"Agricult.trabaj.calif.agrop.y pesqueros (097)",2682,2,,2524,154,2,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (098)",38,,15,20,,3,,
