"CUADRO Nº 15: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia LORETO (000)",18954,2614,3130,8326,154,3146,253,1331
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",41,39,,,2,,,
"Profes., científicos e intelectuales (002)",1233,1187,,43,2,1,,
"Técnicos de nivel medio y trab. asimilados (003)",409,336,,65,3,5,,
"Jefes y empleados de oficina (004)",389,388,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1304,239,54,803,23,185,,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",6579,1,4,6483,90,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",817,,620,187,7,3,,
"Obreros construc.,conf.,papel, fab., instr. (008)",840,73,551,195,11,10,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",5343,158,1671,363,11,2887,253,
"Otra (010)",48,48,,,,,,
"Ocupaciñn no especificada (011)",620,145,230,187,5,53,,
"Desocupado (012)",1331,,,,,,,1331
"Hombres (013)",14507,1775,2816,7036,124,1661,28,1067
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",35,34,,,1,,,
"Profes., científicos e intelectuales (015)",770,741,,28,,1,,
"Técnicos de nivel medio y trab. asimilados (016)",345,287,,51,3,4,,
"Jefes y empleados de oficina (017)",274,274,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",737,160,31,462,14,70,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",6013,1,4,5926,81,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",778,,617,152,6,3,,
"Obreros construc.,conf.,papel, fab., instr. (021)",823,72,538,192,11,10,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (022)",3268,101,1429,150,5,1555,28,
"Otra (023)",45,45,,,,,,
"Ocupaciñn no especificada (024)",352,60,197,75,3,17,,
"Desocupado (025)",1067,,,,,,,1067
"Mujeres (026)",4447,839,314,1290,30,1485,225,264
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",6,5,,,1,,,
"Profes., científicos e intelectuales (028)",463,446,,15,2,,,
"Técnicos de nivel medio y trab. asimilados (029)",64,49,,14,,1,,
"Jefes y empleados de oficina (030)",115,114,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",567,79,23,341,9,115,,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",566,,,557,9,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",39,,3,35,1,,,
"Obreros construc.,conf.,papel, fab., instr. (034)",17,1,13,3,,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (035)",2075,57,242,213,6,1332,225,
"Otra (036)",3,3,,,,,,
"Ocupaciñn no especificada (037)",268,85,33,112,2,36,,
"Desocupado (038)",264,,,,,,,264
,,,,,,,,
"URBANA (039)",9138,1897,2289,3172,93,946,222,519
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",22,20,,,2,,,
"Profes., científicos e intelectuales (041)",760,722,,37,,1,,
"Técnicos de nivel medio y trab. asimilados (042)",332,269,,55,3,5,,
"Jefes y empleados de oficina (043)",350,349,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",1020,220,40,611,11,138,,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",1754,,,1703,50,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",707,,536,165,4,2,,
"Obreros construc.,conf.,papel, fab., instr. (047)",682,60,427,178,9,8,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (048)",2553,135,1092,326,9,769,222,
"Otra (049)",34,34,,,,,,
"Ocupaciñn no especificada (050)",405,88,194,97,5,21,,
"Desocupado (051)",519,,,,,,,519
"Hombres (052)",6615,1306,2067,2312,73,436,21,400
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",18,17,,,1,,,
"Profes., científicos e intelectuales (054)",478,454,,23,,1,,
"Técnicos de nivel medio y trab. asimilados (055)",277,228,,42,3,4,,
"Jefes y empleados de oficina (056)",238,238,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",521,145,27,298,6,45,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",1504,,,1460,43,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",671,,533,132,4,2,,
"Obreros construc.,conf.,papel, fab., instr. (060)",666,59,414,176,9,8,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (061)",1519,81,926,125,4,362,21,
"Otra (062)",31,31,,,,,,
"Ocupaciñn no especificada (063)",292,53,167,56,3,13,,
"Desocupado (064)",400,,,,,,,400
"Mujeres (065)",2523,591,222,860,20,510,201,119
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",4,3,,,1,,,
"Profes., científicos e intelectuales (067)",282,268,,14,,,,
"Técnicos de nivel medio y trab. asimilados (068)",55,41,,13,,1,,
"Jefes y empleados de oficina (069)",112,111,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",499,75,13,313,5,93,,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",250,,,243,7,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",36,,3,33,,,,
"Obreros construc.,conf.,papel, fab., instr. (073)",16,1,13,2,,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (074)",1034,54,166,201,5,407,201,
"Otra (075)",3,3,,,,,,
"Ocupaciñn no especificada (076)",113,35,27,41,2,8,,
"Desocupado (077)",119,,,,,,,119
,,,,,,,,
"RURAL (078)",9816,717,841,5154,61,2200,31,812
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",19,19,,,,,,
"Profes., científicos e intelectuales (080)",473,465,,6,2,,,
"Técnicos de nivel medio y trab. asimilados (081)",77,67,,10,,,,
"Jefes y empleados de oficina (082)",39,39,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",284,19,14,192,12,47,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",4825,1,4,4780,40,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",110,,84,22,3,1,,
"Obreros construc.,conf.,papel, fab., instr. (086)",158,13,124,17,2,2,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (087)",2790,23,579,37,2,2118,31,
"Otra (088)",14,14,,,,,,
"Ocupaciñn no especificada (089)",215,57,36,90,,32,,
"Desocupado (090)",812,,,,,,,812
"Hombres (091)",7892,469,749,4724,51,1225,7,667
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",17,17,,,,,,
"Profes., científicos e intelectuales (093)",292,287,,5,,,,
"Técnicos de nivel medio y trab. asimilados (094)",68,59,,9,,,,
"Jefes y empleados de oficina (095)",36,36,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (096)",216,15,4,164,8,25,,
