"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia HUANTA (000)",22713,92450,9802,42123,12911,50327
"Casa independiente (001)",21060,86245,9508,40866,11552,45379
"Departamento en edificio (002)",30,123,30,123,,
"Vivienda en quinta (003)",113,522,113,522,,
"Vivienda en casa de vecindad (004)",87,361,87,361,,
"Choza o cabaña (005)",1343,4877,,,1343,4877
"Vivienda improvisada (006)",55,220,55,220,,
"Local no dest.para hab. humana (007)",21,92,9,31,12,61
"Otro tipo (008)",4,10,,,4,10
